angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.01,[211  77 139 139],0.0,0.06,0.1,0.7,0.12,0.0
0.04,[219  82 136 136],0.0,0.1,0.31,0.41,0.12,0.02
0.0,[221  88 126 126],0.0,0.0,0.99,0.01,0.0,0.0
0.01,[214  73 128 128],0.0,0.01,0.92,0.0,0.0,0.05
0.06,[198  79 139 139],0.0,0.11,0.01,0.12,0.05,0.66
0.09,[219  80 128 128],0.0,0.45,0.01,0.19,0.13,0.13
0.11,[229  90 128 128],0.0,0.49,0.0,0.07,0.15,0.18
0.01,[231  77 135 135],0.0,0.02,0.92,0.03,0.01,0.0
0.02,[233  91 130 130],0.0,0.28,0.0,0.03,0.02,0.64
0.05,[236  95 129 129],0.0,0.1,0.51,0.06,0.01,0.27
