发布时间,发布岗位数量,前7个岗位名称
2025-03-12,250,"['大数据开发工程师', '产品经理', '大数据产品经理', 'Java', '数据产品经理', '数据分析师', '算法工程师']"
2025-03-13,2,['城市数据咨询师']
2025-03-14,2,['后端开发工程师']
2025-03-17,3,"['算法工程师', '首席金融科技专家']"
2025-03-18,2,['大数据，python，mySQL，']
2025-03-19,1,['数据产品经理(BI方向)']
2025-03-20,4,"['大数据总监', '算力销售和运营']"
2025-03-21,2,['大数据开发工程师']
2025-03-22,3,"['大数据平台技术专家', '大数据开发工程师']"
2025-03-23,1,['大数据开发工程师-广告业务']
2025-03-24,7,"['数据平台产品经理（北京）', '通信大数据开发', 'mysql高级dba', '阿里云CIO大数据研发', '大数据开发工程师', '高级大数据运维工程师']"
2025-03-25,12,"['大数据开发工程师', '高级推荐算法工程师', '高级投资经理', '商业数据管理技术专家（电商平台方向）', 'doris开发工程师', '大数据运维工程师', '大数据产品专家']"
2025-03-26,6,"['高级大数据工程师', '大数据产品经理（必备PMP证书）', '大数据开发工程师', '大数据挖掘专家', '中信银行大数据开发']"
2025-03-27,5,"['产品经理', '大数据分析师', '中级大数据开发工程师', '大数据及引擎工程师/专家-云服务']"
2025-03-28,4,"['Java开发工程师', '大数据咨询专家', '大数据工程师']"
2025-03-29,6,"['商务助理/销售助理', '大数据项目经理', '大数据开发工程师', '大数据运维工程师', '中级大数据开发工程师']"
2025-03-30,3,"['数据建模分析师（实习）', '大数据开发实习生']"
2025-03-31,9,"['算法工程师', '数据分析工程师', '技术总监', '信披合规咨询（二级市场）', '高级大数据工程师', '资深大数据架构师', '大数据产品经理']"
2025-04-01,6,"['大数据项目经理', '产品经理（大数据项目）', 'SCI论文编辑', '大数据etl工程师', '资深大数据开发工程师']"
2025-04-02,18,"['大数据开发工程师', '大数据开发实习生', '大数据安全工程师', '数据安全管理工程师(J10136)', 'AI医疗产品经理', '产品经理-数字工地项目_66421', '产品经理-市场营销项目_66417']"
2025-04-03,13,"['银行服务端开发', '交通大数据分析工程师', '产品经理（大数据方向学信本）', '大数据标注工程师', '数据开发工程师', '大数据开发', '大数据开发工程师']"
2025-04-04,4,"['产品经理', 'SCI/SSCI兼职编辑', '智慧解决方案架构师（北京、合肥）', '大数据开发']"
2025-04-05,6,"['量化研究员', '运维工程师', '大数据开发总监', '大数据开发实习生', '推荐算法工程师', 'GPU解决方案架构师']"
2025-04-06,10,"['Java/PHP架构师', '销售负责人（创业合伙人）', '中、高级java开发工程师', 'Java高级软件开发工程师', 'hadoop大数据工程师', '大数据平台测试工程师']"
2025-04-07,12,"['解决方案经理', '大数据开发工程师', '产品行销经理', '数据研发工程师', '工业互联网平台实施工程师', '高级技术架构师', 'JAVA工程师']"
2025-04-08,23,"['大数据项目经理', 'java开发主管', '大客户销售经理（计算机软件、通信）', '大数据开发工程师', '运维工程师（偏硬件）', '大数据开发工程师-商业化-北/上/广/深/杭', '大数据产品经理']"
2025-04-09,39,"['大数据开发工程师', '高级产品管理岗', 'AI数据开发工程师（后端）', '人工智能算法工程师（实习生）', 'Java初级开发工程师', '后端架构师（外派ETC 地点沈阳中街）', '初级大数据开发工程师']"
2025-04-10,76,"['高级大数据开发工程师', '大数据开发工程师', '中级大数据开发工程师', '大数据分析师（实习）', '数据架构', '大数据工程师', '档案数字化驻场人员']"
2025-04-11,645,"['大数据开发工程师', '大数据开发', '高级大数据开发工程师', '高级产品经理', '数据开发工程师', '大数据架构师', '数据科学家']"
