职位名称,出现次数
大数据开发工程师,79
大数据开发,25
高级大数据开发工程师,23
产品经理,19
大数据产品经理,18
大数据工程师,13
数据分析师,11
Java,11
大数据运维工程师,10
算法工程师,10
大数据架构师,10
数据产品经理,9
中级大数据开发工程师,9
大数据开发实习生,9
数据开发工程师,8
高级产品经理,7
大数据分析师,7
大数据项目经理,7
Java开发工程师,6
数据科学家,6
高级大数据工程师,6
大数据研发工程师,5
运维工程师,5
架构师,5
销售经理,5
项目经理/主管,4
后端开发工程师,4
开发实习生,4
资深java开发工程师,4
数据开发,4
技术总监,4
大数据平台架构师,4
大数据算法工程师,4
大数据总监,4
ai算法工程师,3
大模型算法工程师,3
大数据数仓工程师,3
hadoop大数据工程师,3
大数据实习生,3
技术经理,3
资深大数据架构师,3
大数据etl工程师,3
高级技术架构师,3
数据工程师,3
大数据平台开发工程师,3
python开发工程师,3
中级java开发工程师,3
java高级大数据工程师,2
大数据安全工程师,2
大数据解决方案咨询顾问,2
大数据应用工程师,2
大数据开发讲师（北京）,2
高级大数据开发,2
后端开发（大数据）,2
数据建模分析师（实习）,2
Python大数据开发工程师,2
产品销售总监（企业大数据平台）,2
销售经理（大数据+人工智能）,2
大数据平台技术专家,2
产品助理,2
大数据，python，mySQL，,2
大数据架构师(J10975),2
交易核算开发岗,2
解决方案专家,2
医疗大数据算法工程师,2
大数据技术总监,2
数据处理师,2
网站程序员,2
大数据可视化设计师UI/UE,2
云计算解决方案工程师,2
python开发工程师（银行大模型）（J12592）,2
北京解决方案,2
it审计师,2
数据网设计师,2
驻场运维工程师,2
科技审计岗,2
系统运维工程师（大模型DevOps方向）,2
设计研发工程师,2
抓取工程师（校招or长期实习）,2
数据中台交付工程师,2
ETL开发,2
抓取工程师,2
风控,2
助理,2
市场研究员,2
b端产品经理,2
数据运维工程师（高级）,2
研发工程师（大语言模型）,2
项目经理实习生（智慧城市/园区方向）,2
数据库工程师-达梦,2
HRBP,2
erp咨询顾问,2
数据库开发工程师,2
舆情分析师,2
数据营销,2
AI实习生,2
审计专员,2
数据分析,2
大数据模型工程师,2
AI应用专员-北京,2
医疗大数据分析师,2
大数据开发（外派浪潮云）,2
超级“易”新星-算法类(J10329),2
数字化风险管理咨询经理/高级经理,2
链+新生代—置业顾问/储备干部，无责底薪,2
高级Web前端开发工程师（能源数字化方向）,2
数据管理能力成熟度评估模型DCMM评估师,2
监测平台指标分析岗位,2
酷我音乐数据分析工程师,2
售前经理/BD经理（自持数据中心）,2
客户经理（北京、西安）,2
技术支持（北京东城区）,2
DPU网卡高级研发工程师,2
人工智能算法工程师（中化）,2
软件开发实习生,2
Account Manager,2
数据湖仓开发工程师-初级（北京、武汉）,2
Java开发人员,2
