月份,职位数量
2020-07,242
2020-08,222
2020-09,244
2020-10,129
2020-11,59
2020-12,35
2021-01,107
2021-02,146
2021-03,170
2021-04,146
2021-05,348
2021-06,440
2021-07,1450
2021-08,773
2021-09,578
2021-10,1
2021-11,1
2021-12,355
2022-01,262
2022-02,29
2022-03,258
2022-04,174
2022-05,143
2022-06,273
2022-07,604
2022-08,239
2022-09,232
2022-10,258
2022-11,278
2022-12,174
2023-01,152
2023-02,248
2023-03,213
2023-04,233
2023-05,290
2023-06,283
2023-07,122
2023-08,9
2023-09,20
2023-10,28
2023-11,17
2023-12,15
