月份,职位数量
2016-03,1
2016-05,1
2016-06,39
2016-07,44
2016-08,16
2016-09,17
2016-10,1
2016-11,1
2017-01,35
2017-02,62
2017-03,73
2017-04,17
2017-05,17
2017-06,28
2017-07,30
2017-08,10
2017-09,1
2017-10,3
2017-11,19
2017-12,9
2018-01,18
2018-02,25
2018-03,30
2018-04,14
2018-05,32
2018-06,110
2018-07,77
2018-08,44
2018-09,26
2018-10,15
2018-11,22
2018-12,50
2019-01,7
2019-02,8
2019-03,5
2019-04,55
2019-05,69
2019-06,4
2019-07,4
2019-08,3
2019-09,3
2019-10,7
2019-11,52
2019-12,47
2020-01,29
2020-02,21
2020-03,32
2020-04,60
2020-05,56
2020-06,82
2020-07,75
2020-08,35
2020-09,36
2020-10,12
2020-11,4
2020-12,2
2021-01,18
2021-02,36
2021-03,30
2021-04,16
2021-05,85
2021-06,69
2021-07,289
2021-08,137
2021-09,100
2021-12,64
2022-01,40
2022-02,15
2022-03,62
2022-04,31
2022-05,21
2022-06,56
2022-07,107
2022-08,39
2022-09,22
2022-10,31
2022-11,11
2022-12,26
2023-01,32
2023-02,59
2023-03,60
2023-04,75
2023-05,67
2023-06,63
2023-07,32
2023-08,3
2023-09,8
2023-10,4
2023-11,1
2023-12,4
