岗位薪资,数量
10000.0-15000.0,622
15000.0-25000.0,445
15000.0-30000.0,404
15000.0-20000.0,358
20000.0-30000.0,283
20000.0-40000.0,279
8000.0-10000.0,223
8000.0-12000.0,211
6000.0-8000.0,199
10000.0-20000.0,190
薪资面议,188
20000.0-35000.0,167
12000.0-20000.0,159
12000.0-18000.0,149
8000.0-13000.0,147
0.0-0.0,135
7000.0-8000.0,134
20000.0-25000.0,128
9000.0-14000.0,127
7000.0-10000.0,125
25000.0-35000.0,121
7000.0-9000.0,112
8000.0-15000.0,106
30000.0-50000.0,105
7000.0-12000.0,100
6000.0-10000.0,95
5000.0-6000.0,94
25000.0-40000.0,94
6000.0-7000.0,93
25000.0-50000.0,90
10000.0-12000.0,89
4000.0-5000.0,81
12000.0-24000.0,78
12000.0-16000.0,77
12000.0-15000.0,77
5000.0-7000.0,74
9000.0-12000.0,73
18000.0-30000.0,73
30000.0-60000.0,72
13000.0-18000.0,72
18000.0-25000.0,69
6000.0-9000.0,68
11000.0-20000.0,67
5000.0-8000.0,64
25000.0-30000.0,63
8000.0-16000.0,63
11000.0-16000.0,62
8000.0-9000.0,62
15000.0-18000.0,61
3000.0-4000.0,55
15000.0-22000.0,55
13000.0-15000.0,53
14000.0-18000.0,53
2000.0-3000.0,53
6000.0-12000.0,52
10000.0-14000.0,52
10000.0-13000.0,51
11000.0-18000.0,49
8000.0-11000.0,48
18000.0-35000.0,47
9000.0-13000.0,46
11000.0-22000.0,46
12000.0-17000.0,46
4000.0-6000.0,46
30000.0-40000.0,45
7000.0-14000.0,44
5000.0-10000.0,42
9000.0-10000.0,40
10000.0-11000.0,40
25000.0-45000.0,40
11000.0-15000.0,39
10000.0-18000.0,38
30000.0-45000.0,38
13000.0-20000.0,37
10000.0-16000.0,36
14000.0-20000.0,34
22000.0-30000.0,34
13000.0-16000.0,34
6000.0-11000.0,33
16000.0-20000.0,33
18000.0-20000.0,32
15000.0-17000.0,30
18000.0-24000.0,30
13000.0-25000.0,29
18000.0-22000.0,29
7000.0-11000.0,29
14000.0-16000.0,29
11000.0-17000.0,28
9000.0-11000.0,28
15000.0-23000.0,27
15000.0-16000.0,26
4000.0-8000.0,26
16000.0-30000.0,24
9000.0-15000.0,23
12000.0-14000.0,23
40000.0-60000.0,23
8000.0-14000.0,22
40000.0-70000.0,22
13000.0-17000.0,22
13000.0-26000.0,21
18000.0-26000.0,21
12000.0-22000.0,20
20000.0-28000.0,20
30000.0-35000.0,19
16000.0-22000.0,19
11000.0-14000.0,19
1000.0-2000.0,18
12000.0-13000.0,18
14000.0-15000.0,18
50000.0-80000.0,18
18000.0-28000.0,16
40000.0-50000.0,16
5000.0-9000.0,15
15000.0-21000.0,15
17000.0-20000.0,15
15000.0-19000.0,15
18000.0-23000.0,14
16000.0-23000.0,14
14000.0-17000.0,14
11000.0-21000.0,14
16000.0-18000.0,14
35000.0-45000.0,13
17000.0-30000.0,13
11000.0-13000.0,13
35000.0-50000.0,13
9000.0-18000.0,13
17000.0-25000.0,13
7000.0-13000.0,12
3000.0-5000.0,12
15000.0-28000.0,12
35000.0-65000.0,12
11000.0-19000.0,12
13000.0-19000.0,11
22000.0-35000.0,11
14000.0-28000.0,11
16000.0-25000.0,11
23000.0-30000.0,11
11000.0-12000.0,11
16000.0-24000.0,10
15000.0-26000.0,10
22000.0-40000.0,10
40000.0-80000.0,9
4000.0-7000.0,9
14000.0-22000.0,9
14000.0-25000.0,9
18000.0-21000.0,9
50000.0-70000.0,9
14000.0-19000.0,8
20000.0-21000.0,8
23000.0-35000.0,8
13000.0-14000.0,8
13000.0-24000.0,8
15000.0-24000.0,7
25000.0-28000.0,7
16000.0-17000.0,7
12000.0-19000.0,7
35000.0-60000.0,7
10000.0-17000.0,7
22000.0-28000.0,7
20000.0-22000.0,7
20000.0-27000.0,6
50000.0-100000.0,6
18000.0-36000.0,6
13000.0-22000.0,6
30000.0-55000.0,6
35000.0-55000.0,6
16000.0-19000.0,6
17000.0-24000.0,6
18000.0-27000.0,6
14000.0-24000.0,6
17000.0-21000.0,6
45000.0-70000.0,6
18000.0-19000.0,6
17000.0-22000.0,6
19000.0-30000.0,6
50000.0-60000.0,5
4000.0-9000.0,5
24000.0-30000.0,5
13000.0-23000.0,5
60000.0-80000.0,5
28000.0-40000.0,5
19000.0-22000.0,5
20000.0-26000.0,5
16000.0-21000.0,5
16000.0-26000.0,5
17000.0-18000.0,4
80000.0-100000.0,4
19000.0-23000.0,4
2000.0-4000.0,4
20000.0-24000.0,4
26000.0-40000.0,4
40000.0-55000.0,4
28000.0-35000.0,4
35000.0-70000.0,4
3000.0-6000.0,4
10000.0-19000.0,4
12000.0-21000.0,4
22000.0-25000.0,4
20000.0-29000.0,4
45000.0-50000.0,4
14000.0-21000.0,4
45000.0-80000.0,4
23000.0-28000.0,3
19000.0-35000.0,3
60000.0-90000.0,3
22000.0-26000.0,3
20000.0-23000.0,3
27000.0-30000.0,3
24000.0-40000.0,3
21000.0-35000.0,3
28000.0-45000.0,3
80000.0-110000.0,3
22000.0-23000.0,3
25000.0-26000.0,3
21000.0-28000.0,3
12000.0-23000.0,3
22000.0-27000.0,3
17000.0-19000.0,2
3000.0-7000.0,2
23000.0-45000.0,2
45000.0-75000.0,2
100000.0-130000.0,2
19000.0-28000.0,2
50000.0-55000.0,2
9000.0-16000.0,2
9000.0-17000.0,2
16000.0-27000.0,2
40000.0-65000.0,2
3000.0-8000.0,2
23000.0-38000.0,2
28000.0-55000.0,2
27000.0-40000.0,2
14000.0-26000.0,2
19000.0-29000.0,2
13000.0-21000.0,2
70000.0-100000.0,2
16000.0-32000.0,2
15000.0-29000.0,2
24000.0-35000.0,2
30000.0-46000.0,2
17000.0-28000.0,2
40000.0-45000.0,2
19000.0-25000.0,2
17000.0-23000.0,2
45000.0-60000.0,1
100000.0-140000.0,1
21000.0-30000.0,1
25000.0-29000.0,1
100000.0-200000.0,1
200000.0-250000.0,1
45000.0-55000.0,1
100000.0-110000.0,1
80000.0-140000.0,1
60000.0-100000.0,1
19000.0-24000.0,1
25000.0-27000.0,1
27000.0-50000.0,1
26000.0-50000.0,1
21000.0-25000.0,1
24000.0-45000.0,1
29000.0-55000.0,1
26000.0-35000.0,1
55000.0-70000.0,1
28000.0-36000.0,1
50000.0-65000.0,1
19000.0-21000.0,1
2000.0-5000.0,1
90000.0-120000.0,1
19000.0-26000.0,1
5500.0-8000.0,1
47000.0-50000.0,1
30000.0-32000.0,1
14000.0-23000.0,1
14000.0-27000.0,1
30000.0-37000.0,1
23000.0-32000.0,1
30000.0-38000.0,1
4500.0-7000.0,1
35000.0-40000.0,1
20000.0-38000.0,1
65000.0-85000.0,1
24000.0-28000.0,1
22000.0-44000.0,1
19000.0-20000.0,1
21000.0-26000.0,1
25000.0-38000.0,1
7500.0-8000.0,1
17000.0-27000.0,1
21000.0-40000.0,1
110000.0-120000.0,1
70000.0-80000.0,1
