岗位薪资,数量
4000.0-6000.0,750
6000.0-8000.0,620
10000.0-15000.0,505
5000.0-8000.0,418
6000.0-10000.0,333
4000.0-8000.0,319
8000.0-12000.0,317
8000.0-10000.0,311
5000.0-10000.0,303
5000.0-7000.0,303
4000.0-5000.0,300
0.0-0.0,294
8000.0-15000.0,265
3000.0-5000.0,258
6000.0-12000.0,256
15000.0-25000.0,233
7000.0-10000.0,209
10000.0-20000.0,201
6000.0-9000.0,192
5000.0-6000.0,181
7000.0-12000.0,178
4000.0-7000.0,172
3000.0-6000.0,162
15000.0-20000.0,145
3000.0-4000.0,138
7000.0-14000.0,93
7000.0-9000.0,93
5000.0-9000.0,93
8000.0-13000.0,92
7000.0-13000.0,83
8000.0-16000.0,81
9000.0-12000.0,81
15000.0-30000.0,78
6000.0-11000.0,64
12000.0-20000.0,63
8000.0-11000.0,62
6000.0-7000.0,60
20000.0-30000.0,59
2000.0-4000.0,52
4500.0-6000.0,51
10000.0-12000.0,49
8000.0-14000.0,45
20000.0-25000.0,45
12000.0-18000.0,45
20000.0-40000.0,41
9000.0-15000.0,38
3000.0-4500.0,36
10000.0-18000.0,35
7000.0-8000.0,34
7000.0-11000.0,33
8000.0-9000.0,26
4001.0-6000.0,26
薪资面议,25
12000.0-15000.0,24
9000.0-18000.0,24
10000.0-16000.0,24
2000.0-3000.0,24
6001.0-8000.0,24
9000.0-11000.0,23
9000.0-13000.0,22
10000.0-13000.0,21
12000.0-24000.0,19
12000.0-16000.0,18
25000.0-40000.0,18
30000.0-60000.0,18
10000.0-14000.0,18
25000.0-35000.0,17
9000.0-14000.0,16
1000.0-2000.0,16
18000.0-25000.0,15
3001.0-5000.0,14
25000.0-30000.0,14
15000.0-18000.0,14
15000.0-23000.0,13
20000.0-35000.0,13
9000.0-10000.0,12
30000.0-50000.0,12
6001.0-10000.0,12
11000.0-20000.0,12
13000.0-25000.0,12
11000.0-15000.0,12
15000.0-22000.0,11
15000.0-17000.0,11
13000.0-18000.0,11
14000.0-20000.0,10
10001.0-20000.0,10
5001.0-10000.0,10
17500.0-25000.0,9
3000.0-8000.0,9
3500.0-5000.0,8
4000.0-9000.0,8
4001.0-5000.0,8
16666.0-25000.0,7
8001.0-12000.0,7
11000.0-12000.0,7
4001.0-8000.0,7
13000.0-20000.0,7
8333.0-12500.0,7
30000.0-45000.0,7
10001.0-15000.0,7
11000.0-21000.0,6
1500.0-2000.0,6
14000.0-16000.0,6
25000.0-50000.0,6
5001.0-8000.0,6
16000.0-25000.0,6
15001.0-20000.0,6
12000.0-22000.0,6
8001.0-10000.0,6
14000.0-18000.0,6
11000.0-22000.0,6
4500.0-7000.0,6
12000.0-17000.0,6
3500.0-6000.0,6
13000.0-21000.0,5
25000.0-45000.0,5
