岗位薪资,数量
4000.0-6000.0,789
6000.0-8000.0,598
5000.0-7000.0,440
5000.0-8000.0,410
8000.0-12000.0,396
7000.0-12000.0,391
5000.0-10000.0,345
8000.0-10000.0,340
4000.0-5000.0,333
10000.0-15000.0,321
5000.0-6000.0,312
6000.0-10000.0,309
6000.0-12000.0,278
3000.0-4000.0,254
3000.0-5000.0,246
8000.0-15000.0,245
7000.0-10000.0,244
4000.0-8000.0,226
0.0-0.0,210
7000.0-9000.0,205
6000.0-9000.0,202
10000.0-20000.0,181
6000.0-7000.0,132
4000.0-7000.0,125
3000.0-6000.0,116
15000.0-20000.0,115
5000.0-9000.0,111
8000.0-16000.0,103
7000.0-14000.0,102
8000.0-13000.0,101
15000.0-30000.0,82
15000.0-25000.0,82
7000.0-11000.0,76
2000.0-4000.0,73
7000.0-8000.0,70
7000.0-13000.0,68
9000.0-15000.0,62
9000.0-12000.0,57
8000.0-11000.0,56
10000.0-12000.0,54
20000.0-30000.0,50
20000.0-40000.0,48
9000.0-13000.0,44
6000.0-11000.0,42
2000.0-3000.0,38
13000.0-26000.0,36
10000.0-13000.0,34
9000.0-14000.0,34
12000.0-20000.0,34
12000.0-18000.0,34
8000.0-14000.0,33
10000.0-18000.0,29
9000.0-18000.0,28
8000.0-9000.0,26
12000.0-24000.0,22
10000.0-14000.0,22
30000.0-50000.0,21
9000.0-10000.0,20
9000.0-11000.0,20
12000.0-15000.0,19
20000.0-25000.0,19
11000.0-20000.0,19
10000.0-16000.0,18
10000.0-11000.0,14
12000.0-16000.0,14
25000.0-35000.0,14
13000.0-20000.0,13
15000.0-22000.0,12
13000.0-25000.0,12
30000.0-60000.0,12
20000.0-35000.0,12
14000.0-18000.0,12
11000.0-16000.0,10
10000.0-17000.0,10
11000.0-15000.0,10
18000.0-25000.0,9
25000.0-45000.0,9
9000.0-16000.0,8
11000.0-18000.0,8
13000.0-18000.0,8
15000.0-28000.0,8
15000.0-18000.0,8
1000.0-2000.0,8
11000.0-22000.0,7
25000.0-40000.0,7
11000.0-19000.0,7
11000.0-14000.0,7
25000.0-30000.0,7
18000.0-30000.0,6
16000.0-30000.0,6
14000.0-20000.0,5
14000.0-15000.0,5
12000.0-13000.0,5
薪资面议,5
30000.0-40000.0,5
11000.0-13000.0,4
14000.0-25000.0,4
12000.0-17000.0,4
13000.0-15000.0,4
16000.0-25000.0,4
13000.0-16000.0,4
25000.0-50000.0,4
13000.0-23000.0,4
14000.0-28000.0,4
50000.0-60000.0,3
14000.0-22000.0,3
3000.0-7000.0,3
30000.0-35000.0,3
40000.0-50000.0,3
25000.0-26000.0,3
16000.0-20000.0,3
17000.0-18000.0,2
3000.0-4500.0,2
21000.0-35000.0,2
70000.0-130000.0,2
6000.0-6100.0,2
17000.0-29000.0,2
20000.0-24000.0,2
60000.0-80000.0,2
4000.0-9000.0,2
35000.0-40000.0,2
12000.0-14000.0,2
15000.0-23000.0,2
45000.0-65000.0,2
50000.0-70000.0,2
11000.0-17000.0,2
15000.0-24000.0,2
12000.0-23000.0,2
14000.0-17000.0,2
18000.0-24000.0,2
16000.0-26000.0,2
14000.0-24000.0,2
50000.0-80000.0,2
2500.0-4000.0,2
30000.0-45000.0,2
15000.0-26000.0,2
3500.0-4500.0,2
35000.0-65000.0,2
14000.0-16000.0,2
100000.0-180000.0,1
11000.0-12000.0,1
90000.0-150000.0,1
50000.0-100000.0,1
20000.0-23000.0,1
80000.0-150000.0,1
55000.0-90000.0,1
50000.0-75000.0,1
15000.0-21000.0,1
75000.0-100000.0,1
17000.0-20000.0,1
20000.0-29000.0,1
20000.0-28000.0,1
16000.0-17000.0,1
45000.0-85000.0,1
65000.0-130000.0,1
9000.0-17000.0,1
21000.0-40000.0,1
40000.0-80000.0,1
18000.0-23000.0,1
16000.0-22000.0,1
75000.0-110000.0,1
15000.0-20833.0,1
16000.0-18000.0,1
22000.0-26000.0,1
35000.0-50000.0,1
120000.0-150000.0,1
2500.0-3000.0,1
18000.0-22000.0,1
17000.0-25000.0,1
20000.0-22000.0,1
24000.0-40000.0,1
100000.0-200000.0,1
15000.0-16000.0,1
90000.0-120000.0,1
15000.0-19000.0,1
5500.0-7000.0,1
12000.0-22000.0,1
17000.0-27000.0,1
15000.0-27000.0,1
17000.0-28000.0,1
13000.0-24000.0,1
11000.0-21000.0,1
4500.0-4800.0,1
3500.0-8500.0,1
13000.0-14000.0,1
21000.0-24000.0,1
18000.0-28000.0,1
40000.0-65000.0,1
14000.0-21000.0,1
55000.0-60000.0,1
40000.0-60000.0,1
1500.0-2000.0,1
16000.0-24000.0,1
