岗位薪资,数量
10000.0-15000.0,510
15000.0-25000.0,484
15000.0-30000.0,407
20000.0-40000.0,369
15000.0-20000.0,341
20000.0-30000.0,315
薪资面议,287
12000.0-20000.0,168
8000.0-12000.0,143
20000.0-35000.0,143
8000.0-13000.0,134
8000.0-10000.0,131
10000.0-20000.0,123
6000.0-8000.0,121
12000.0-18000.0,120
20000.0-25000.0,120
25000.0-50000.0,114
25000.0-35000.0,114
30000.0-50000.0,113
0.0-0.0,113
12000.0-24000.0,109
25000.0-40000.0,106
11000.0-20000.0,105
15000.0-18000.0,101
12000.0-15000.0,97
7000.0-12000.0,94
11000.0-18000.0,93
30000.0-60000.0,84
7000.0-8000.0,84
7000.0-10000.0,82
18000.0-25000.0,80
12000.0-16000.0,80
6000.0-10000.0,77
8000.0-15000.0,74
7000.0-9000.0,73
9000.0-14000.0,73
18000.0-22000.0,73
11000.0-12000.0,69
11000.0-16000.0,67
18000.0-35000.0,67
10000.0-12000.0,65
10000.0-13000.0,65
13000.0-18000.0,63
4000.0-6000.0,62
10000.0-14000.0,61
15000.0-22000.0,61
5000.0-6000.0,60
5000.0-8000.0,59
6000.0-7000.0,57
30000.0-40000.0,57
15000.0-16000.0,56
11000.0-17000.0,54
12000.0-17000.0,53
14000.0-20000.0,53
18000.0-30000.0,53
5000.0-10000.0,52
16000.0-20000.0,52
13000.0-15000.0,51
13000.0-20000.0,50
12000.0-13000.0,50
25000.0-30000.0,49
11000.0-15000.0,49
16000.0-18000.0,48
5000.0-7000.0,48
14000.0-18000.0,47
13000.0-17000.0,47
15000.0-17000.0,45
8000.0-9000.0,44
14000.0-16000.0,44
15000.0-21000.0,44
14000.0-15000.0,43
14000.0-17000.0,43
8000.0-11000.0,43
11000.0-22000.0,42
13000.0-16000.0,42
13000.0-25000.0,40
11000.0-13000.0,40
9000.0-12000.0,39
13000.0-26000.0,39
10000.0-11000.0,37
8000.0-16000.0,34
15000.0-19000.0,34
9000.0-13000.0,34
4000.0-5000.0,33
6000.0-9000.0,33
16000.0-17000.0,33
30000.0-45000.0,32
7000.0-11000.0,31
18000.0-20000.0,31
25000.0-45000.0,31
12000.0-14000.0,29
17000.0-20000.0,29
3000.0-4000.0,29
40000.0-60000.0,29
20000.0-23000.0,29
15000.0-23000.0,28
30000.0-35000.0,28
9000.0-10000.0,28
18000.0-23000.0,27
11000.0-14000.0,27
11000.0-19000.0,27
20000.0-21000.0,26
16000.0-23000.0,26
6000.0-12000.0,26
6000.0-11000.0,25
16000.0-30000.0,25
9000.0-15000.0,24
13000.0-14000.0,24
10000.0-18000.0,23
16000.0-25000.0,22
35000.0-50000.0,21
12000.0-23000.0,21
7000.0-14000.0,21
20000.0-28000.0,21
14000.0-28000.0,20
9000.0-11000.0,20
40000.0-70000.0,20
12000.0-19000.0,19
4000.0-8000.0,19
17000.0-25000.0,18
18000.0-19000.0,18
17000.0-23000.0,18
14000.0-19000.0,18
16000.0-19000.0,18
16000.0-22000.0,18
18000.0-21000.0,17
14000.0-22000.0,17
13000.0-22000.0,16
2000.0-3000.0,16
12000.0-22000.0,16
17000.0-18000.0,16
20000.0-24000.0,15
17000.0-22000.0,15
20000.0-26000.0,15
10000.0-16000.0,14
35000.0-45000.0,14
19000.0-21000.0,13
15000.0-28000.0,13
35000.0-55000.0,13
30000.0-55000.0,12
12000.0-21000.0,12
20000.0-22000.0,12
40000.0-50000.0,12
17000.0-19000.0,11
13000.0-23000.0,11
4000.0-7000.0,11
16000.0-21000.0,11
4000.0-9000.0,11
50000.0-80000.0,11
9000.0-18000.0,11
18000.0-28000.0,11
13000.0-19000.0,11
14000.0-25000.0,11
5000.0-9000.0,10
19000.0-22000.0,10
13000.0-21000.0,10
3000.0-5000.0,10
8000.0-14000.0,9
28000.0-35000.0,9
14000.0-23000.0,9
14000.0-24000.0,8
2000.0-4000.0,8
25000.0-28000.0,8
18000.0-24000.0,8
17000.0-21000.0,8
11000.0-21000.0,8
14000.0-21000.0,7
19000.0-20000.0,7
22000.0-30000.0,7
15000.0-24000.0,7
10000.0-17000.0,7
13000.0-24000.0,7
23000.0-25000.0,7
28000.0-40000.0,6
17000.0-24000.0,6
26000.0-30000.0,6
35000.0-40000.0,6
18000.0-27000.0,6
17000.0-30000.0,6
22000.0-25000.0,6
23000.0-30000.0,6
1000.0-2000.0,6
23000.0-35000.0,5
16000.0-24000.0,5
3000.0-6000.0,5
15000.0-26000.0,5
20000.0-27000.0,5
22000.0-40000.0,5
23000.0-45000.0,5
19000.0-23000.0,5
22000.0-28000.0,4
15000.0-27000.0,4
35000.0-65000.0,4
45000.0-70000.0,4
24000.0-30000.0,4
21000.0-22000.0,4
9000.0-16000.0,4
18000.0-26000.0,4
17000.0-26000.0,3
21000.0-35000.0,3
2000.0-7000.0,3
40000.0-80000.0,3
17000.0-27000.0,3
40000.0-55000.0,3
35000.0-60000.0,3
18000.0-36000.0,3
50000.0-70000.0,3
80000.0-100000.0,3
45000.0-50000.0,3
9000.0-17000.0,3
16000.0-26000.0,2
50000.0-100000.0,2
3000.0-8000.0,2
