岗位薪资,数量
6000.0-8000.0,751
4000.0-6000.0,740
10000.0-15000.0,380
0.0-0.0,367
8000.0-10000.0,350
5000.0-8000.0,311
5000.0-10000.0,310
6000.0-10000.0,299
3000.0-5000.0,254
4000.0-5000.0,250
8000.0-12000.0,237
4000.0-8000.0,226
8000.0-15000.0,221
5000.0-7000.0,218
10000.0-20000.0,197
3000.0-4000.0,180
6000.0-12000.0,179
7000.0-10000.0,170
3000.0-6000.0,166
2000.0-4000.0,160
6000.0-9000.0,151
15000.0-20000.0,146
5000.0-6000.0,145
4500.0-6000.0,135
7000.0-9000.0,134
7000.0-14000.0,128
薪资面议,122
7000.0-12000.0,117
4000.0-7000.0,115
15000.0-25000.0,110
9000.0-15000.0,97
4001.0-6000.0,90
8000.0-16000.0,89
3000.0-4500.0,81
15000.0-30000.0,78
6001.0-8000.0,71
20000.0-30000.0,68
6000.0-7000.0,66
5000.0-9000.0,63
2000.0-3000.0,57
20000.0-40000.0,54
7000.0-11000.0,47
9000.0-12000.0,42
8000.0-13000.0,41
8001.0-10000.0,40
8000.0-14000.0,40
10000.0-12000.0,39
7000.0-8000.0,38
6000.0-11000.0,36
12000.0-15000.0,34
12000.0-20000.0,34
10000.0-18000.0,31
12000.0-24000.0,29
10000.0-13000.0,28
5001.0-8000.0,27
2001.0-4000.0,27
1000.0-2000.0,26
8000.0-11000.0,25
10000.0-16000.0,23
10001.0-15000.0,23
5001.0-10000.0,23
6001.0-10000.0,23
7000.0-13000.0,21
6001.0-12000.0,21
9000.0-18000.0,21
30000.0-50000.0,21
9000.0-14000.0,21
12000.0-18000.0,19
4001.0-8000.0,19
12000.0-16000.0,18
10001.0-20000.0,18
20000.0-25000.0,17
4001.0-5000.0,16
11000.0-20000.0,16
9000.0-13000.0,15
9000.0-11000.0,15
9000.0-16000.0,14
3500.0-4000.0,14
3001.0-5000.0,14
3001.0-4000.0,14
8001.0-15000.0,14
8001.0-12000.0,14
11000.0-18000.0,13
25000.0-30000.0,13
10000.0-11000.0,13
3001.0-6000.0,12
25000.0-40000.0,12
20000.0-50000.0,12
8500.0-15000.0,12
25000.0-35000.0,11
13000.0-20000.0,11
15001.0-20000.0,11
11000.0-15000.0,10
20001.0-40000.0,10
40000.0-50000.0,10
18000.0-25000.0,9
9000.0-10000.0,9
4000.0-9000.0,9
20001.0-30000.0,9
5001.0-6000.0,9
11000.0-16000.0,9
30000.0-40000.0,9
8333.0-12500.0,9
3500.0-4500.0,8
100000.0-150000.0,8
14000.0-20000.0,8
11000.0-22000.0,8
7001.0-10000.0,8
13000.0-16000.0,8
18000.0-22000.0,7
5001.0-7000.0,7
8001.0-16000.0,7
10000.0-17000.0,7
10000.0-14000.0,7
16000.0-20000.0,7
15000.0-18000.0,7
8000.0-9000.0,7
5000.0-15000.0,6
8500.0-12000.0,6
16666.0-25000.0,6
12000.0-17000.0,6
13000.0-25000.0,6
96000.0-96000.0,6
8500.0-9500.0,6
9000.0-17000.0,6
11000.0-17000.0,5
40000.0-80000.0,5
4000.0-10000.0,5
3500.0-5000.0,5
7001.0-14000.0,5
5001.0-9000.0,5
7001.0-13000.0,5
10001.0-16000.0,5
15000.0-21000.0,5
13000.0-17000.0,5
11000.0-13000.0,5
50000.0-80000.0,5
11000.0-14000.0,5
13000.0-18000.0,5
20000.0-35000.0,5
6001.0-9000.0,4
5500.0-6500.0,4
150000.0-200000.0,4
4500.0-7000.0,4
15000.0-22000.0,4
12500.0-16666.0,4
12500.0-25000.0,4
12000.0-14000.0,4
15000.0-23000.0,4
4500.0-5000.0,4
6500.0-8000.0,4
15001.0-30000.0,4
13000.0-15000.0,4
4000.0-4500.0,4
9500.0-13000.0,4
14000.0-18000.0,4
5000.0-20000.0,4
3600.0-4500.0,4
15000.0-19000.0,4
4500.0-5500.0,4
4001.0-7000.0,4
15000.0-40000.0,4
9500.0-15000.0,4
6500.0-8500.0,3
6001.0-7000.0,3
12001.0-20000.0,3
2001.0-3000.0,3
7001.0-8000.0,3
3400.0-7400.0,3
40001.0-80000.0,3
3500.0-6000.0,3
13000.0-21000.0,3
5000.0-7500.0,3
25000.0-50000.0,3
12500.0-20833.0,3
12001.0-15000.0,3
3500.0-5500.0,3
10000.0-30000.0,3
8000.0-9900.0,3
15833.0-17500.0,3
14000.0-39000.0,3
4500.0-8000.0,3
15000.0-24000.0,3
3000.0-3500.0,3
18000.0-20000.0,3
14000.0-22000.0,3
13000.0-26000.0,3
16000.0-25000.0,3
10000.0-22000.0,3
8000.0-20000.0,3
50000.0-70000.0,3
15000.0-29000.0,3
1500.0-2000.0,3
12000.0-19000.0,3
7000.0-15000.0,3
30000.0-60000.0,3
8333.0-11666.0,3
18000.0-35000.0,3
17000.0-25000.0,3
2000.0-5000.0,3
50000.0-60000.0,3
11000.0-19000.0,3
13000.0-19000.0,3
9001.0-18000.0,3
7001.0-12000.0,3
22000.0-40000.0,3
90000.0-180000.0,2
3000.0-4400.0,2
9800.0-12000.0,2
100000.0-120000.0,2
80000.0-100000.0,2
60000.0-84000.0,2
9166.0-12500.0,2
15001.0-25000.0,2
6000.0-15000.0,2
7001.0-9000.0,2
15833.0-20000.0,2
4000.0-6500.0,2
6800.0-7800.0,2
5800.0-7500.0,2
6000.0-18000.0,2
4500.0-9000.0,2
8500.0-10000.0,2
4400.0-4500.0,2
200000.0-350000.0,2
12001.0-16000.0,2
5500.0-7500.0,2
15833.0-22500.0,2
40000.0-60000.0,2
5500.0-6000.0,2
9500.0-12000.0,2
3000.0-7000.0,2
8001.0-14000.0,2
5500.0-8000.0,2
100000.0-200000.0,2
13000.0-14000.0,2
35000.0-40000.0,2
150000.0-300000.0,2
3200.0-3400.0,2
2500.0-2800.0,2
6001.0-11000.0,2
6666.0-8333.0,2
3600.0-6100.0,2
60000.0-120000.0,2
3300.0-4000.0,2
11000.0-12000.0,2
4166.0-5000.0,2
80000.0-150000.0,2
4000.0-12000.0,2
7500.0-12500.0,2
14000.0-30000.0,2
3000.0-5400.0,2
19000.0-22000.0,2
120000.0-200000.0,2
15000.0-17500.0,2
8333.0-25000.0,2
5000.0-8333.0,1
12001.0-18000.0,1
2000.0-2001.0,1
10001.0-18000.0,1
3500.0-6500.0,1
7000.0-7500.0,1
9001.0-11000.0,1
8001.0-13000.0,1
11001.0-15000.0,1
7001.0-11000.0,1
72000.0-96000.0,1
22000.0-43000.0,1
8333.0-16666.0,1
20000.0,1
10001.0-14000.0,1
2000.0-2300.0,1
12001.0-22000.0,1
1500.0-4000.0,1
3000.0-10000.0,1
3000.0-5500.0,1
7500.0-8500.0,1
7500.0-10833.0,1
4500.0-4800.0,1
120.0-120.0,1
8000.0-18000.0,1
48000.0-60000.0,1
84000.0-84000.0,1
70000.0-75000.0,1
250000.0-500000.0,1
5833.0-8333.0,1
5200.0-7800.0,1
60000.0-96000.0,1
