岗位薪资,数量
4000.0-6000.0,577
10000.0-15000.0,486
6000.0-8000.0,457
5000.0-7000.0,404
5000.0-8000.0,376
8000.0-12000.0,337
5000.0-10000.0,309
6000.0-10000.0,290
10000.0-20000.0,256
8000.0-15000.0,256
8000.0-10000.0,240
4000.0-5000.0,236
4000.0-8000.0,232
7000.0-10000.0,230
6000.0-12000.0,223
5000.0-6000.0,214
15000.0-25000.0,208
15000.0-30000.0,192
6000.0-9000.0,185
4000.0-7000.0,175
7000.0-12000.0,174
8000.0-13000.0,169
0.0-0.0,160
7000.0-9000.0,160
3000.0-5000.0,156
15000.0-20000.0,146
3000.0-4000.0,120
20000.0-30000.0,116
5000.0-9000.0,101
3000.0-6000.0,100
12000.0-20000.0,99
8000.0-16000.0,84
20000.0-40000.0,81
12000.0-18000.0,68
7000.0-14000.0,66
12000.0-15000.0,65
9000.0-14000.0,61
10000.0-14000.0,61
6000.0-7000.0,59
9000.0-12000.0,56
薪资面议,55
7000.0-8000.0,51
10000.0-18000.0,51
8000.0-11000.0,50
7000.0-11000.0,50
12000.0-16000.0,50
8000.0-14000.0,49
9000.0-15000.0,48
10000.0-12000.0,45
10000.0-13000.0,42
12000.0-24000.0,40
20000.0-25000.0,39
6000.0-11000.0,39
18000.0-30000.0,39
18000.0-25000.0,36
9000.0-11000.0,35
25000.0-40000.0,35
11000.0-20000.0,35
2000.0-3000.0,34
11000.0-16000.0,34
10000.0-16000.0,33
25000.0-35000.0,32
11000.0-15000.0,32
12000.0-14000.0,29
20000.0-35000.0,27
9000.0-13000.0,26
7000.0-13000.0,25
30000.0-60000.0,24
13000.0-18000.0,24
25000.0-50000.0,24
13000.0-20000.0,24
14000.0-20000.0,23
11000.0-22000.0,22
15000.0-18000.0,22
8000.0-9000.0,22
14000.0-15000.0,20
11000.0-18000.0,19
30000.0-50000.0,19
11000.0-17000.0,19
10000.0-11000.0,19
2000.0-4000.0,18
11000.0-13000.0,17
12000.0-17000.0,16
9000.0-16000.0,16
25000.0-30000.0,16
15000.0-22000.0,16
14000.0-18000.0,14
9000.0-18000.0,14
13000.0-16000.0,13
10000.0-17000.0,13
9000.0-10000.0,12
30000.0-40000.0,12
12000.0-22000.0,11
30000.0-45000.0,11
16000.0-25000.0,11
13000.0-25000.0,11
17000.0-30000.0,11
18000.0-23000.0,10
12000.0-13000.0,10
13000.0-15000.0,10
16000.0-30000.0,10
16000.0-20000.0,10
10000.0-19000.0,10
18000.0-35000.0,10
14000.0-16000.0,9
1000.0-2000.0,9
11000.0-14000.0,9
15000.0-17000.0,9
25000.0-45000.0,9
7500.0-9166.0,9
11000.0-12000.0,8
14000.0-22000.0,8
15000.0-21000.0,8
4000.0-9000.0,8
13000.0-26000.0,7
17000.0-25000.0,7
13000.0-14000.0,7
15000.0-19000.0,7
14000.0-17000.0,7
3000.0-8000.0,7
18000.0-22000.0,6
16000.0-18000.0,6
18000.0-28000.0,6
13000.0-17000.0,6
16000.0-24000.0,6
15000.0-24000.0,6
35000.0-65000.0,6
15000.0-16000.0,6
15000.0-23000.0,6
30000.0-35000.0,5
18000.0-21000.0,5
16000.0-21000.0,5
22000.0-40000.0,5
12000.0-19000.0,5
14000.0-28000.0,5
18000.0-24000.0,4
11000.0-19000.0,4
40000.0-50000.0,4
50000.0-80000.0,4
20000.0-28000.0,4
15000.0-28000.0,4
13000.0-21000.0,4
50000.0-70000.0,4
13000.0-19000.0,4
12000.0-23000.0,4
14000.0-25000.0,4
17000.0-24000.0,3
100000.0-200000.0,3
17000.0-22000.0,3
200000.0-250000.0,3
40000.0-45000.0,3
35000.0-45000.0,3
20000.0-21000.0,2
20000.0-23000.0,2
50000.0-100000.0,2
19000.0-35000.0,2
18000.0-20000.0,2
28000.0-35000.0,2
19000.0-22000.0,2
19000.0-30000.0,2
35000.0-50000.0,2
26000.0-30000.0,2
13000.0-22000.0,2
30000.0-55000.0,2
16000.0-28000.0,2
28000.0-40000.0,2
140000.0-200000.0,2
3000.0-7000.0,2
24000.0-45000.0,2
21000.0-35000.0,2
9166.0-11666.0,2
24000.0-40000.0,2
85000.0-150000.0,2
40000.0-70000.0,2
14000.0-19000.0,2
16000.0-23000.0,2
50000.0-85000.0,1
28000.0-45000.0,1
50000.0-90000.0,1
21000.0-30000.0,1
20000.0-22000.0,1
45000.0-50000.0,1
15000.0-27000.0,1
11000.0-21000.0,1
85000.0-120000.0,1
16000.0-27000.0,1
70000.0-100000.0,1
26000.0-40000.0,1
21000.0-23000.0,1
12000.0-21000.0,1
22000.0-35000.0,1
21000.0-24000.0,1
85000.0-110000.0,1
13000.0-24000.0,1
18000.0-27000.0,1
1800.0-3500.0,1
16000.0-29000.0,1
1000.0-2500.0,1
18000.0-26000.0,1
23000.0-38000.0,1
5700.0-7000.0,1
2000.0-7000.0,1
4000.0-5500.0,1
18000.0-29000.0,1
13000.0-23000.0,1
5700.0-6900.0,1
26000.0-28000.0,1
23000.0-30000.0,1
70000.0-95000.0,1
14000.0-26000.0,1
35000.0-60000.0,1
20000.0-26000.0,1
16000.0-22000.0,1
9000.0-17000.0,1
18000.0-36000.0,1
60000.0-100000.0,1
14000.0-27000.0,1
19000.0-26000.0,1
40000.0-80000.0,1
17000.0-23000.0,1
70000.0-80000.0,1
17000.0-20000.0,1
80000.0-120000.0,1
50000.0-60000.0,1
35000.0-40000.0,1
