岗位薪资,数量
6000.0-8000.0,720
4000.0-6000.0,616
10000.0-15000.0,520
8000.0-10000.0,396
0.0-0.0,369
8000.0-12000.0,364
6000.0-10000.0,359
5000.0-8000.0,354
5000.0-7000.0,323
10000.0-20000.0,288
8000.0-15000.0,271
6000.0-12000.0,261
5000.0-10000.0,258
7000.0-10000.0,204
5000.0-6000.0,198
4000.0-8000.0,198
15000.0-20000.0,197
4000.0-5000.0,177
15000.0-30000.0,170
15000.0-25000.0,164
8000.0-16000.0,154
7000.0-12000.0,137
6000.0-9000.0,136
3000.0-5000.0,128
7000.0-9000.0,126
8000.0-13000.0,125
6000.0-7000.0,121
7000.0-14000.0,118
3000.0-4000.0,111
4000.0-7000.0,101
20000.0-30000.0,85
12000.0-20000.0,83
20000.0-40000.0,77
3000.0-6000.0,71
7000.0-8000.0,67
2000.0-4000.0,64
9000.0-12000.0,63
6000.0-11000.0,59
9000.0-15000.0,56
12000.0-24000.0,55
10000.0-18000.0,52
12000.0-18000.0,48
20000.0-25000.0,47
12000.0-15000.0,46
9000.0-14000.0,45
10000.0-12000.0,44
5000.0-9000.0,40
7000.0-11000.0,39
8000.0-14000.0,38
9000.0-18000.0,35
8000.0-11000.0,35
9000.0-13000.0,35
13000.0-20000.0,32
7000.0-13000.0,32
8000.0-9000.0,29
11000.0-20000.0,29
10000.0-16000.0,28
25000.0-35000.0,28
9000.0-11000.0,27
10000.0-13000.0,27
9000.0-10000.0,25
2000.0-3000.0,25
20000.0-35000.0,24
18000.0-25000.0,24
13000.0-25000.0,23
薪资面议,21
13000.0-26000.0,20
15000.0-18000.0,19
14000.0-20000.0,19
18000.0-20000.0,19
10000.0-14000.0,18
15000.0-22000.0,18
25000.0-30000.0,18
13000.0-18000.0,18
30000.0-50000.0,18
11000.0-18000.0,17
11000.0-16000.0,17
25000.0-40000.0,16
11000.0-22000.0,16
11000.0-15000.0,15
12000.0-16000.0,14
12000.0-17000.0,13
16000.0-20000.0,13
14000.0-18000.0,13
30000.0-60000.0,13
25000.0-50000.0,13
10000.0-17000.0,13
9000.0-16000.0,11
10000.0-11000.0,11
14000.0-25000.0,10
16000.0-30000.0,9
11000.0-17000.0,9
30000.0-40000.0,9
18000.0-30000.0,8
13000.0-16000.0,8
12000.0-13000.0,7
13000.0-15000.0,7
15000.0-23000.0,7
12000.0-22000.0,7
18000.0-28000.0,7
25000.0-45000.0,7
50000.0-80000.0,7
1000.0-2000.0,7
13000.0-22000.0,6
18000.0-35000.0,6
13000.0-17000.0,6
60000.0-100000.0,6
18000.0-19000.0,6
3500.0-4500.0,5
17000.0-25000.0,5
16000.0-25000.0,5
18000.0-22000.0,5
14000.0-19000.0,5
15000.0-17000.0,5
20000.0-28000.0,5
15000.0-28000.0,4
11000.0-13000.0,4
12000.0-23000.0,4
16000.0-22000.0,4
11000.0-21000.0,4
17000.0-22000.0,4
14000.0-16000.0,4
10000.0-19000.0,4
24000.0-28000.0,4
13000.0-19000.0,4
40000.0-50000.0,3
19000.0-25000.0,3
3000.0-4500.0,3
50000.0-100000.0,3
12000.0-19000.0,3
23000.0-30000.0,3
20000.0-21000.0,3
70000.0-100000.0,3
35000.0-50000.0,3
30000.0-35000.0,3
11000.0-12000.0,3
22000.0-24000.0,3
14000.0-21000.0,3
15000.0-21000.0,3
17000.0-20000.0,3
40000.0-65000.0,3
16000.0-19000.0,3
15000.0-24000.0,3
5500.0-6500.0,3
12000.0-21000.0,3
14000.0-22000.0,3
9000.0-17000.0,3
3000.0-4800.0,2
19000.0-24000.0,2
14000.0-17000.0,2
13000.0-23000.0,2
20000.0-23000.0,2
50000.0-70000.0,2
35000.0-55000.0,2
15000.0-19000.0,2
30000.0-45000.0,2
20000.0-27000.0,2
19000.0-35000.0,2
5300.0-6600.0,2
40000.0-70000.0,2
40000.0-60000.0,2
50000.0-75000.0,2
45000.0-65000.0,2
24000.0-30000.0,2
18000.0-23000.0,2
40000.0-45000.0,2
4000.0-9000.0,2
40000.0-55000.0,2
40000.0-80000.0,2
3000.0-3500.0,2
7500.0-15000.0,2
4000.0-4500.0,2
16000.0-23000.0,2
15000.0-26000.0,2
21000.0-27000.0,2
15000.0-16000.0,2
3000.0-8000.0,2
11000.0-19000.0,2
17000.0-19000.0,2
17000.0-30000.0,2
25000.0-26000.0,2
200000.0-250000.0,1
29000.0-40000.0,1
24000.0-45000.0,1
16000.0-18000.0,1
120000.0-240000.0,1
50000.0-60000.0,1
4000.0-4000.0,1
16000.0-29000.0,1
16000.0-27000.0,1
100000.0-200000.0,1
2500.0-4500.0,1
11000.0-14000.0,1
4500.0-8000.0,1
4000.0-5500.0,1
35000.0-60000.0,1
25000.0-42000.0,1
19000.0-20000.0,1
3100.0-6200.0,1
21000.0-25000.0,1
45000.0-60000.0,1
4000.0-6500.0,1
3800.0-4800.0,1
3500.0-5500.0,1
4500.0-8500.0,1
40000.0-75000.0,1
65000.0-90000.0,1
15000.0-29000.0,1
13000.0-24000.0,1
150000.0-250000.0,1
15000.0-27000.0,1
19000.0-22000.0,1
17000.0-21000.0,1
22000.0-26000.0,1
35000.0-65000.0,1
14000.0-15000.0,1
80000.0-120000.0,1
45000.0-80000.0,1
60000.0-120000.0,1
13000.0-21000.0,1
16000.0-26000.0,1
16000.0-24000.0,1
16000.0-17000.0,1
35000.0-45000.0,1
1000.0-5000.0,1
13000.0-14000.0,1
2000.0-5000.0,1
14000.0-26000.0,1
22000.0-28000.0,1
21000.0-40000.0,1
19000.0-21000.0,1
35000.0-40000.0,1
21000.0-29000.0,1
35000.0-70000.0,1
25000.0-29000.0,1
23000.0-45000.0,1
17000.0-28000.0,1
45000.0-90000.0,1
50000.0-90000.0,1
90000.0-130000.0,1
24000.0-26000.0,1
14000.0-24000.0,1
25000.0-28000.0,1
60000.0-80000.0,1
28000.0-55000.0,1
28000.0-50000.0,1
20000.0-26000.0,1
23000.0-25000.0,1
26000.0-30000.0,1
