岗位薪资,数量
5000.0-8000.0,1149
薪资面议,706
8000.0-12000.0,679
3000.0-5000.0,650
4000.0-6000.0,608
6000.0-8000.0,420
5000.0-7000.0,348
4000.0-5000.0,238
3000.0-4000.0,204
5000.0-6000.0,202
8000.0-10000.0,199
4000.0-8000.0,188
5000.0-10000.0,185
12000.0-20000.0,179
10000.0-15000.0,174
6000.0-10000.0,162
6000.0-12000.0,146
3000.0-6000.0,134
4000.0-7000.0,125
0.0-0.0,118
4001.0-5000.0,114
6001.0-8000.0,103
8000.0-15000.0,100
10000.0-20000.0,96
6000.0-9000.0,89
7000.0-12000.0,84
2000.0-4000.0,84
6000.0-7000.0,79
7000.0-10000.0,78
4001.0-6000.0,77
15000.0-25000.0,76
25000.0,75
3001.0-4000.0,74
5000.0-9000.0,68
2000.0-3000.0,64
8001.0-10000.0,61
20000.0-25000.0,57
15000.0-20000.0,57
7000.0-9000.0,53
7000.0-14000.0,52
8000.0-16000.0,51
15000.0-30000.0,50
4500.0-6000.0,43
8000.0-13000.0,41
10000.0-12000.0,38
5001.0-6000.0,36
2001.0-3000.0,33
10001.0-15000.0,33
3000.0-4500.0,32
6000.0-11000.0,32
7000.0-8000.0,30
9000.0-12000.0,29
5001.0-10000.0,28
9000.0-15000.0,27
2001.0-4000.0,27
20000.0-40000.0,27
5001.0-8000.0,26
4000.0,24
8000.0-11000.0,22
12000.0-15000.0,22
8000.0-9000.0,22
20000.0-30000.0,20
3001.0-6000.0,20
9500.0-12000.0,18
3001.0-5000.0,18
5001.0-7000.0,18
10000.0-13000.0,17
3000.0-3500.0,17
9000.0-13000.0,16
4001.0-8000.0,16
8000.0-14000.0,16
7000.0-11000.0,15
7000.0-13000.0,14
15001.0-20000.0,13
10000.0-11000.0,13
25000.0-35000.0,12
1000.0-2000.0,12
6001.0-12000.0,12
4500.0-5000.0,12
5000.0-6500.0,12
20000.0,11
4001.0-7000.0,11
3500.0-4500.0,11
8001.0-15000.0,10
11000.0-20000.0,10
6001.0-10000.0,10
9000.0-10000.0,9
12000.0-24000.0,9
4500.0-9000.0,9
3500.0-5000.0,9
10000.0-18000.0,9
5500.0-7500.0,8
9000.0-18000.0,8
16000.0-30000.0,8
9800.0-12000.0,8
9000.0-14000.0,8
9000.0-11000.0,7
3000.0-4499.0,7
2800.0-4000.0,7
25000.0-40000.0,7
10000.0-14000.0,7
12000.0-18000.0,7
13000.0-20000.0,6
2500.0-4000.0,6
7001.0-10000.0,6
50000.0,6
2000.0,6
3500.0-6000.0,6
12000.0-16000.0,6
10000.0-16000.0,6
13000.0-15000.0,5
3500.0-4000.0,5
4500.0-5500.0,5
30000.0-50000.0,5
4500.0-6500.0,5
6700.0-9000.0,5
100000.0-120000.0,5
3500.0-7000.0,5
6500.0-9000.0,5
2800.0-3500.0,5
13000.0-26000.0,5
6001.0-7000.0,5
4000.0-4500.0,4
5001.0-9000.0,4
20001.0-30000.0,4
10001.0-20000.0,4
1760.0-1760.0,4
9850.0-13500.0,4
2500.0-5000.0,4
9500.0-13000.0,4
4500.0-7000.0,4
1870.0-1870.0,4
300000.0-480000.0,4
11000.0-15000.0,4
11000.0-18000.0,4
12000.0-22000.0,4
70000.0-100000.0,4
40000.0-80000.0,4
3000.0-8000.0,4
20000.0-35000.0,4
11000.0-22000.0,4
50000.0-80000.0,3
150000.0-200000.0,3
200000.0-300000.0,3
8001.0-16000.0,3
2800.0-4500.0,3
3000.0-10000.0,3
11000.0-16000.0,3
5500.0-8000.0,3
30000.0-60000.0,3
7001.0-14000.0,3
6001.0-9000.0,3
4500.0-8000.0,3
7001.0-12000.0,3
20000.0-50000.0,3
2500.0-3000.0,3
80000.0-150000.0,3
18000.0-25000.0,3
70000.0-130000.0,2
40.0-40.0,2
8001.0-12000.0,2
9800.0-15000.0,2
6000.0-7999.0,2
18001.0-35000.0,2
15001.0-30000.0,2
13001.0-18000.0,2
3000.0-7000.0,2
2800.0-3200.0,2
16000.0-25000.0,2
18000.0-30000.0,2
18000.0-20000.0,2
1500.0-2000.0,2
12000.0-13000.0,2
3200.0-3500.0,2
96000.0-96000.0,2
2500.0-4500.0,2
10000.0-12500.0,2
8500.0-12000.0,2
1540.0-1540.0,2
3800.0-6000.0,2
3800.0-5200.0,2
7001.0-11000.0,2
25000.0-30000.0,2
6500.0-7000.0,2
3500.0-5500.0,2
2000.0-3500.0,2
70000.0-98000.0,2
25000.0-50000.0,2
4000.0-5500.0,2
50000.0-70000.0,2
6500.0-12000.0,2
15000.0-16000.0,2
15000.0-18000.0,2
15000.0-22000.0,2
13000.0-18000.0,2
8500.0-9500.0,2
7500.0-9500.0,2
50000.0-60000.0,2
12000.0-17000.0,2
9800.0-13500.0,2
18000.0-23000.0,2
100000.0-200000.0,2
30000.0-40000.0,2
9001.0-15000.0,2
50000.0-110000.0,1
240000.0-360000.0,1
13000.0-25000.0,1
2000.0-2800.0,1
120000.0-240000.0,1
2500.0-3500.0,1
4500.0-5999.0,1
2500.0-2700.0,1
3300.0-3500.0,1
3000.0-3200.0,1
19000.0-25000.0,1
3400.0-3800.0,1
50000.0-90000.0,1
100000.0-140000.0,1
2500.0-3400.0,1
130000.0-150000.0,1
3400.0-4300.0,1
2800.0-3000.0,1
12000.0-23000.0,1
4500.0,1
2800.0-5000.0,1
13000.0-21000.0,1
2400.0-2600.0,1
4000.0-4200.0,1
6555.0-8555.0,1
