岗位薪资,数量
6000.0-8000.0,551
4000.0-6000.0,498
5000.0-7000.0,492
10000.0-15000.0,460
5000.0-8000.0,429
8000.0-12000.0,424
0.0-0.0,341
6000.0-10000.0,332
5000.0-6000.0,312
7000.0-10000.0,289
8000.0-10000.0,288
4000.0-5000.0,280
5000.0-10000.0,268
8000.0-15000.0,267
10000.0-20000.0,254
6000.0-12000.0,209
7000.0-12000.0,200
4000.0-8000.0,199
4000.0-7000.0,183
15000.0-25000.0,175
7000.0-9000.0,171
6000.0-9000.0,163
3000.0-5000.0,153
6000.0-7000.0,150
8000.0-13000.0,147
3000.0-4000.0,133
15000.0-20000.0,120
15000.0-30000.0,112
7000.0-14000.0,104
8000.0-16000.0,103
3000.0-6000.0,95
7000.0-8000.0,90
12000.0-20000.0,82
10000.0-12000.0,72
10000.0-18000.0,71
12000.0-18000.0,71
8000.0-14000.0,70
20000.0-30000.0,69
5000.0-9000.0,67
9000.0-14000.0,62
8000.0-11000.0,58
9000.0-12000.0,56
9000.0-15000.0,52
12000.0-24000.0,45
20000.0-40000.0,44
12000.0-16000.0,40
7000.0-13000.0,40
10000.0-13000.0,40
12000.0-15000.0,40
6000.0-11000.0,38
7000.0-11000.0,38
10000.0-16000.0,37
10000.0-14000.0,36
8000.0-9000.0,36
2000.0-4000.0,34
9000.0-13000.0,31
13000.0-20000.0,28
20000.0-25000.0,27
11000.0-20000.0,25
20000.0-35000.0,25
9000.0-18000.0,24
2000.0-3000.0,24
11000.0-15000.0,22
13000.0-25000.0,19
25000.0-35000.0,18
18000.0-25000.0,17
14000.0-20000.0,16
12000.0-14000.0,16
11000.0-18000.0,16
16000.0-20000.0,15
9000.0-16000.0,15
薪资面议,15
9000.0-10000.0,14
13000.0-18000.0,14
9000.0-11000.0,14
30000.0-60000.0,13
11000.0-16000.0,13
30000.0-40000.0,12
12000.0-17000.0,12
25000.0-40000.0,12
10000.0-17000.0,11
25000.0-50000.0,11
10000.0-11000.0,11
30000.0-50000.0,11
11000.0-22000.0,11
15000.0-22000.0,10
14000.0-18000.0,10
15000.0-18000.0,10
13000.0-16000.0,10
18000.0-30000.0,9
15000.0-16000.0,9
12000.0-22000.0,9
16000.0-25000.0,9
13000.0-26000.0,8
11000.0-14000.0,8
15000.0-23000.0,8
25000.0-30000.0,6
18000.0-24000.0,6
13000.0-17000.0,6
14000.0-17000.0,5
13000.0-15000.0,5
12000.0-13000.0,5
50000.0-100000.0,4
18000.0-22000.0,4
18000.0-26000.0,4
30000.0-45000.0,4
14000.0-22000.0,4
13000.0-22000.0,4
17000.0-30000.0,4
4000.0-9000.0,4
11000.0-17000.0,4
14000.0-16000.0,4
14000.0-19000.0,3
22000.0-35000.0,3
70000.0-100000.0,3
35000.0-65000.0,3
11000.0-12000.0,3
16000.0-22000.0,3
25000.0-45000.0,3
30000.0-35000.0,3
17000.0-25000.0,3
15000.0-26000.0,3
15000.0-24000.0,3
14000.0-21000.0,3
13000.0-23000.0,3
14000.0-28000.0,3
12000.0-23000.0,2
9000.0-17000.0,2
16000.0-30000.0,2
24000.0-28000.0,2
17000.0-22000.0,2
3000.0-4500.0,2
13000.0-21000.0,2
50000.0-80000.0,2
2000.0-2500.0,2
20000.0-33000.0,2
18000.0-28000.0,2
20000.0-28000.0,2
1000.0-2000.0,2
15000.0-28000.0,2
17000.0-27000.0,2
13000.0-24000.0,2
40000.0-70000.0,2
28000.0-55000.0,2
12000.0-21000.0,2
15000.0-17000.0,2
3000.0-7000.0,2
35000.0-45000.0,1
3000.0-3500.0,1
15000.0-19000.0,1
100000.0-200000.0,1
28000.0-30000.0,1
13000.0-19000.0,1
26000.0-50000.0,1
4500.0-5000.0,1
40000.0-50000.0,1
4500.0-6000.0,1
4500.0-7000.0,1
20000.0-21000.0,1
17000.0-21000.0,1
19000.0-35000.0,1
60000.0-80000.0,1
80000.0-150000.0,1
16000.0-18000.0,1
1500.0-3000.0,1
40000.0-80000.0,1
15000.0-21000.0,1
20000.0-23000.0,1
50000.0-70000.0,1
11000.0-13000.0,1
35000.0-60000.0,1
14000.0-26000.0,1
18000.0-23000.0,1
21000.0-27000.0,1
16000.0-24000.0,1
17000.0-23000.0,1
80000.0-130000.0,1
4700.0-5000.0,1
20000.0-22000.0,1
16000.0-21000.0,1
20000.0-26000.0,1
4600.0-6000.0,1
35000.0-70000.0,1
3000.0-8000.0,1
76000.0-152000.0,1
16000.0-26000.0,1
18000.0-35000.0,1
3500.0-4500.0,1
