岗位薪资,数量
4000.0-6000.0,582
6000.0-8000.0,498
10000.0-15000.0,440
5000.0-8000.0,426
5000.0-7000.0,419
6000.0-10000.0,381
8000.0-12000.0,381
5000.0-10000.0,376
4000.0-5000.0,337
0.0-0.0,322
5000.0-6000.0,287
8000.0-10000.0,283
4000.0-8000.0,270
10000.0-20000.0,265
6000.0-12000.0,224
8000.0-15000.0,205
7000.0-10000.0,193
3000.0-5000.0,187
7000.0-12000.0,176
3000.0-4000.0,167
6000.0-9000.0,159
4000.0-7000.0,157
8000.0-13000.0,153
8000.0-16000.0,140
6000.0-7000.0,126
15000.0-25000.0,126
15000.0-20000.0,118
3000.0-6000.0,116
7000.0-9000.0,115
9000.0-12000.0,105
15000.0-30000.0,93
10000.0-12000.0,93
7000.0-14000.0,93
5000.0-9000.0,88
7000.0-8000.0,81
12000.0-20000.0,79
12000.0-18000.0,69
20000.0-40000.0,67
6000.0-11000.0,62
12000.0-24000.0,60
12000.0-15000.0,53
20000.0-30000.0,53
10000.0-18000.0,52
9000.0-15000.0,49
8000.0-11000.0,45
10000.0-13000.0,44
9000.0-13000.0,43
11000.0-15000.0,39
9000.0-14000.0,39
9000.0-18000.0,36
11000.0-20000.0,35
8000.0-14000.0,33
10000.0-14000.0,32
2000.0-3000.0,32
7000.0-11000.0,32
13000.0-20000.0,30
7000.0-13000.0,30
10000.0-11000.0,30
11000.0-22000.0,26
20000.0-25000.0,26
2000.0-4000.0,26
10000.0-16000.0,22
11000.0-16000.0,21
11000.0-18000.0,20
薪资面议,20
25000.0-50000.0,19
25000.0-30000.0,19
12000.0-16000.0,18
8000.0-9000.0,18
9000.0-11000.0,17
13000.0-18000.0,15
18000.0-25000.0,15
10000.0-17000.0,14
13000.0-15000.0,13
13000.0-17000.0,13
9000.0-10000.0,13
11000.0-13000.0,13
12000.0-22000.0,12
15000.0-22000.0,11
9000.0-16000.0,11
14000.0-25000.0,11
4000.0-9000.0,11
15000.0-18000.0,10
14000.0-20000.0,10
15000.0-24000.0,10
3000.0-8000.0,10
12000.0-17000.0,10
30000.0-60000.0,10
13000.0-16000.0,9
20000.0-35000.0,9
11000.0-17000.0,9
25000.0-35000.0,9
13000.0-26000.0,9
13000.0-25000.0,9
14000.0-16000.0,9
16000.0-20000.0,8
16000.0-25000.0,8
30000.0-50000.0,7
11000.0-19000.0,7
11000.0-12000.0,7
11000.0-14000.0,7
9000.0-17000.0,7
25000.0-40000.0,6
14000.0-18000.0,6
12000.0-14000.0,6
15000.0-16000.0,6
18000.0-35000.0,6
18000.0-30000.0,5
30000.0-40000.0,5
12000.0-23000.0,4
40000.0-70000.0,4
15000.0-28000.0,4
15000.0-27000.0,3
18000.0-28000.0,3
14000.0-17000.0,3
15000.0-26000.0,3
1000.0-2000.0,3
16000.0-22000.0,3
35000.0-70000.0,3
30000.0-35000.0,3
30000.0-45000.0,3
16000.0-17000.0,3
12000.0-13000.0,3
16000.0-21000.0,3
14000.0-28000.0,3
16000.0-30000.0,3
5500.0-7000.0,3
25000.0-41666.0,3
13000.0-23000.0,3
14000.0-23000.0,3
35000.0-45000.0,2
45000.0-80000.0,2
4500.0-5000.0,2
25000.0-45000.0,2
40000.0-50000.0,2
3000.0-7000.0,2
80000.0-120000.0,2
13000.0-22000.0,2
18000.0-24000.0,2
18000.0-22000.0,2
50000.0-100000.0,2
15000.0-23000.0,2
20000.0-24000.0,2
14000.0-24000.0,2
7500.0-10000.0,2
12000.0-21000.0,2
17000.0-20000.0,2
16000.0-23000.0,2
4500.0-6000.0,2
50000.0-80000.0,2
45000.0-65000.0,2
28000.0-30000.0,1
90000.0-120000.0,1
100000.0-200000.0,1
18000.0-20000.0,1
80000.0-140000.0,1
27000.0-50000.0,1
80000.0-100000.0,1
40000.0-80000.0,1
4500.0-6500.0,1
17000.0-25000.0,1
5000.0-7800.0,1
14000.0-15000.0,1
16000.0-26000.0,1
24000.0-30000.0,1
22000.0-35000.0,1
15000.0-21000.0,1
40000.0-45000.0,1
40000.0-65000.0,1
14000.0-22000.0,1
1200.0-1600.0,1
20000.0-28000.0,1
4500.0-7500.0,1
45000.0-75000.0,1
35000.0-65000.0,1
16000.0-24000.0,1
35000.0-60000.0,1
6000.0-6500.0,1
13000.0-14000.0,1
17000.0-26000.0,1
17000.0-30000.0,1
20000.0-26000.0,1
17000.0-28000.0,1
12500.0-16666.0,1
5500.0-6000.0,1
15000.0-20833.0,1
15000.0-29000.0,1
18000.0-26000.0,1
1000.0-6000.0,1
4500.0-9000.0,1
3500.0-6000.0,1
17000.0-27000.0,1
29000.0-35000.0,1
21000.0-26000.0,1
100000.0-150000.0,1
6500.0-8000.0,1
50000.0-70000.0,1
13000.0-21000.0,1
50000.0-85000.0,1
