岗位薪资,数量
4000.0-6000.0,640
6000.0-8000.0,572
5000.0-10000.0,428
4000.0-8000.0,360
3000.0-5000.0,354
10000.0-15000.0,340
3000.0-4000.0,323
5000.0-8000.0,317
8000.0-10000.0,305
0.0-0.0,291
6000.0-12000.0,279
4000.0-5000.0,261
6000.0-10000.0,250
8000.0-12000.0,235
3000.0-6000.0,217
5000.0-7000.0,209
8000.0-15000.0,203
2000.0-4000.0,185
10000.0-20000.0,182
5000.0-6000.0,157
4000.0-7000.0,148
8000.0-16000.0,142
7000.0-10000.0,132
薪资面议,125
6000.0-9000.0,112
15000.0-20000.0,111
15000.0-25000.0,104
2000.0-3000.0,99
7000.0-12000.0,97
7000.0-9000.0,96
9000.0-15000.0,96
4001.0-6000.0,86
7000.0-14000.0,73
15000.0-30000.0,63
6000.0-7000.0,63
9000.0-12000.0,63
5000.0-9000.0,61
8000.0-13000.0,60
20000.0-40000.0,58
20000.0-30000.0,57
6001.0-8000.0,57
10001.0-15000.0,56
7000.0-11000.0,55
5001.0-10000.0,54
4500.0-6000.0,47
7000.0-8000.0,45
6001.0-12000.0,41
8000.0-14000.0,38
6000.0-11000.0,38
2001.0-4000.0,37
4001.0-8000.0,36
3001.0-5000.0,33
7000.0-13000.0,30
12000.0-20000.0,29
3001.0-6000.0,29
10000.0-12000.0,29
4001.0-5000.0,26
10000.0-18000.0,26
8001.0-10000.0,25
8000.0-11000.0,25
7001.0-14000.0,23
12000.0-18000.0,23
1000.0-2000.0,22
3001.0-4000.0,22
8000.0-9000.0,22
3000.0-4500.0,22
12000.0-15000.0,22
6001.0-10000.0,19
11000.0-20000.0,19
5001.0-7000.0,17
9000.0-11000.0,17
11000.0-15000.0,17
20000.0-25000.0,16
9000.0-10000.0,16
9000.0-13000.0,16
12000.0-16000.0,16
15001.0-20000.0,16
9000.0-18000.0,15
12000.0-24000.0,14
15000.0-18000.0,14
3000.0-4499.0,14
25000.0-30000.0,13
50000.0-55000.0,13
10000.0-13000.0,13
9000.0-14000.0,12
5001.0-6000.0,12
30000.0-50000.0,12
8001.0-15000.0,11
5001.0-8000.0,11
13000.0-18000.0,11
16000.0-30000.0,11
10000.0-14000.0,11
10000.0-11000.0,11
8000.0-9999.0,10
20000.0-35000.0,10
9500.0-12000.0,10
4001.0-7000.0,10
9500.0-16000.0,10
2001.0-3000.0,10
18000.0-35000.0,10
10001.0-20000.0,10
10000.0-16000.0,10
5500.0-7500.0,10
9800.0-12000.0,10
8001.0-12000.0,10
8001.0-16000.0,9
25000.0-50000.0,9
11001.0-15000.0,9
6001.0-9000.0,8
9500.0-13000.0,8
13000.0-25000.0,8
50000.0-100000.0,8
9500.0-14000.0,8
12000.0-17000.0,8
13000.0-20000.0,7
25000.0-35000.0,7
3500.0-5000.0,7
14000.0-28000.0,7
3500.0-6000.0,7
12000.0-13000.0,7
8500.0-15000.0,7
7001.0-12000.0,6
30000.0-40000.0,6
20000.0-50000.0,6
5000.0-15000.0,6
5800.0-7500.0,6
150000.0-200000.0,6
8000.0-9900.0,6
9000.0-17000.0,6
12000.0-14000.0,6
14000.0-20000.0,6
18333.0-20000.0,6
2500.0-4500.0,5
11000.0-18000.0,5
15001.0-25000.0,5
3500.0-7000.0,5
4500.0-6500.0,5
3500.0-4500.0,5
20001.0-30000.0,5
12001.0-20000.0,5
16000.0-18000.0,5
6500.0-7500.0,5
40000.0-60000.0,5
10000.0-19000.0,5
13000.0-15000.0,5
5800.0-7800.0,5
13000.0-17000.0,5
