岗位薪资,数量
10000.0-15000.0,692
0.0-0.0,431
6000.0-8000.0,356
8000.0-12000.0,305
15000.0-25000.0,294
5000.0-7000.0,275
8000.0-10000.0,250
15000.0-20000.0,239
4000.0-6000.0,220
15000.0-30000.0,212
5000.0-6000.0,211
5000.0-8000.0,211
7000.0-10000.0,202
6000.0-10000.0,194
10000.0-20000.0,182
7000.0-9000.0,171
5000.0-10000.0,161
12000.0-20000.0,161
8000.0-15000.0,157
7000.0-12000.0,152
8000.0-13000.0,152
12000.0-18000.0,141
6000.0-9000.0,137
4000.0-5000.0,135
20000.0-30000.0,123
6000.0-7000.0,118
11000.0-20000.0,110
20000.0-40000.0,107
薪资面议,96
7000.0-8000.0,86
9000.0-12000.0,80
6000.0-12000.0,80
11000.0-18000.0,80
10000.0-12000.0,79
10000.0-13000.0,77
9000.0-14000.0,74
12000.0-16000.0,72
12000.0-15000.0,71
10000.0-14000.0,65
4000.0-8000.0,64
18000.0-25000.0,63
13000.0-20000.0,61
8000.0-16000.0,60
11000.0-16000.0,60
11000.0-15000.0,59
10000.0-18000.0,59
4000.0-7000.0,56
12000.0-24000.0,55
9000.0-15000.0,54
8000.0-11000.0,54
13000.0-18000.0,54
12000.0-17000.0,51
13000.0-15000.0,51
6000.0-11000.0,51
7000.0-11000.0,50
10000.0-16000.0,50
8000.0-9000.0,50
20000.0-35000.0,49
3000.0-4000.0,47
25000.0-45000.0,44
20000.0-25000.0,44
9000.0-18000.0,42
9000.0-13000.0,41
5000.0-9000.0,40
25000.0-40000.0,38
18000.0-30000.0,38
15000.0-22000.0,38
14000.0-20000.0,37
7000.0-14000.0,37
15000.0-18000.0,37
18000.0-28000.0,37
3000.0-5000.0,34
14000.0-18000.0,34
25000.0-35000.0,32
30000.0-50000.0,32
11000.0-22000.0,31
13000.0-17000.0,31
8000.0-14000.0,30
16000.0-20000.0,29
14000.0-16000.0,29
12000.0-14000.0,28
13000.0-16000.0,26
12000.0-22000.0,26
40000.0-70000.0,26
25000.0-30000.0,26
