岗位薪资,数量
10000.0-15000.0,669
6000.0-8000.0,661
4000.0-6000.0,524
5000.0-7000.0,410
5000.0-8000.0,401
8000.0-10000.0,391
0.0-0.0,376
5000.0-6000.0,374
5000.0-10000.0,349
4000.0-5000.0,345
8000.0-15000.0,296
6000.0-10000.0,288
8000.0-12000.0,275
4000.0-8000.0,257
10000.0-20000.0,233
7000.0-10000.0,225
3000.0-4000.0,225
15000.0-20000.0,213
6000.0-12000.0,208
3000.0-5000.0,207
7000.0-9000.0,188
6000.0-9000.0,182
7000.0-12000.0,158
8000.0-13000.0,147
20000.0-30000.0,132
4000.0-7000.0,119
15000.0-25000.0,108
8000.0-16000.0,106
3000.0-6000.0,92
7000.0-14000.0,86
6000.0-7000.0,86
15000.0-30000.0,79
2000.0-3000.0,71
7000.0-8000.0,62
5000.0-9000.0,61
8000.0-11000.0,60
10000.0-12000.0,56
10000.0-16000.0,55
12000.0-18000.0,52
12000.0-20000.0,52
9000.0-12000.0,46
12000.0-15000.0,42
9000.0-15000.0,42
10000.0-13000.0,41
7000.0-11000.0,41
6000.0-11000.0,40
10000.0-18000.0,35
20000.0-40000.0,35
7000.0-13000.0,31
9000.0-14000.0,29
8000.0-9000.0,28
20000.0-25000.0,28
2000.0-4000.0,27
8000.0-14000.0,26
10000.0-14000.0,25
12000.0-24000.0,24
9000.0-13000.0,22
9000.0-11000.0,20
12000.0-16000.0,19
11000.0-15000.0,17
11000.0-20000.0,17
11000.0-18000.0,17
30000.0-50000.0,17
11000.0-22000.0,16
18000.0-25000.0,14
13000.0-18000.0,14
11000.0-16000.0,14
11000.0-13000.0,13
13000.0-20000.0,13
10000.0-17000.0,12
25000.0-35000.0,12
9000.0-10000.0,12
1000.0-2000.0,12
11000.0-17000.0,12
9000.0-18000.0,10
薪资面议,10
25000.0-40000.0,9
14000.0-18000.0,9
12000.0-17000.0,8
13000.0-16000.0,8
12000.0-22000.0,8
18000.0-30000.0,8
20000.0-35000.0,8
15000.0-18000.0,8
13000.0-17000.0,7
13000.0-25000.0,7
3000.0-8000.0,7
9000.0-16000.0,6
14000.0-16000.0,6
30000.0-60000.0,6
11000.0-21000.0,5
14000.0-17000.0,5
16000.0-25000.0,5
9000.0-17000.0,5
18000.0-20000.0,5
4000.0-9000.0,5
16000.0-20000.0,5
18000.0-35000.0,4
25000.0-30000.0,4
40000.0-60000.0,4
30000.0-45000.0,4
13000.0-21000.0,4
25000.0-50000.0,4
17000.0-25000.0,4
2000.0-5000.0,4
13000.0-26000.0,4
10000.0-11000.0,4
13000.0-15000.0,4
3000.0-4500.0,3
14000.0-15000.0,3
12000.0-14000.0,3
15000.0-17000.0,3
12000.0-13000.0,3
50000.0-100000.0,3
11000.0-12000.0,3
15000.0-26000.0,3
12000.0-23000.0,3
30000.0-40000.0,3
11000.0-14000.0,3
14000.0-23000.0,2
30000.0-35000.0,2
15000.0-24000.0,2
13000.0-22000.0,2
22000.0-30000.0,2
15000.0-16000.0,2
40000.0-80000.0,2
14000.0-20000.0,2
35000.0-60000.0,2
13000.0-23000.0,2
3500.0-4500.0,2
14000.0-26000.0,2
3500.0-5000.0,2
25000.0-45000.0,1
3500.0-4000.0,1
21000.0-40000.0,1
17000.0-21000.0,1
17000.0-30000.0,1
24000.0-40000.0,1
19000.0-20000.0,1
60000.0-120000.0,1
150000.0-250000.0,1
13000.0-19000.0,1
20000.0-24000.0,1
16000.0-23000.0,1
17000.0-24000.0,1
23000.0-28000.0,1
18000.0-23000.0,1
20000.0-23000.0,1
6500.0-12000.0,1
40000.0-45000.0,1
15000.0-19000.0,1
25000.0-26000.0,1
100000.0-150000.0,1
24000.0-30000.0,1
25000.0-28000.0,1
75000.0-120000.0,1
21000.0-35000.0,1
15000.0-23000.0,1
17000.0-20000.0,1
80000.0-120000.0,1
14000.0-19000.0,1
13000.0-24000.0,1
19000.0-26000.0,1
12000.0-19000.0,1
35000.0-40000.0,1
15000.0-22000.0,1
16000.0-24000.0,1
22000.0-25000.0,1
100000.0-200000.0,1
16000.0-26000.0,1
17000.0-22000.0,1
11000.0-19000.0,1
18000.0-28000.0,1
17000.0-18000.0,1
24000.0-35000.0,1
120000.0-190000.0,1
4500.0-6000.0,1
