岗位薪资,数量
薪资面议,820
6000.0-8000.0,640
5000.0-8000.0,498
4000.0-6000.0,444
10000.0-15000.0,389
8000.0-10000.0,370
8000.0-12000.0,302
6000.0-10000.0,295
5000.0-7000.0,253
5000.0-10000.0,244
8000.0-15000.0,217
10000.0-20000.0,213
4000.0-5000.0,198
4000.0-8000.0,193
5000.0-6000.0,192
6000.0-12000.0,182
0.0-0.0,174
7000.0-10000.0,162
4500.0-6000.0,156
15000.0-20000.0,143
3000.0-5000.0,137
4001.0-6000.0,124
6000.0-9000.0,119
7000.0-9000.0,112
6000.0-7000.0,96
10001.0-15000.0,89
4000.0-7000.0,86
3000.0-4000.0,86
12000.0-20000.0,85
7000.0-12000.0,83
6001.0-8000.0,82
8000.0-16000.0,80
3000.0-6000.0,77
15000.0-25000.0,74
5000.0-9000.0,62
8000.0-13000.0,62
8001.0-10000.0,58
20000.0-30000.0,55
7000.0-8000.0,52
15000.0-30000.0,48
20000.0-40000.0,48
7000.0-14000.0,46
10000.0-18000.0,43
9000.0-15000.0,42
20000.0-25000.0,41
5001.0-8000.0,38
8000.0-9000.0,35
4001.0-8000.0,34
9000.0-12000.0,34
3000.0-4500.0,34
10000.0-12000.0,33
6000.0-11000.0,31
12000.0-15000.0,29
7000.0-11000.0,27
5001.0-7000.0,27
2000.0-4000.0,25
6001.0-12000.0,25
8333.0-12500.0,24
10000.0-16000.0,24
5001.0-6000.0,23
11000.0-15000.0,23
4001.0-5000.0,23
10001.0-20000.0,22
15001.0-20000.0,22
12000.0-18000.0,21
10000.0-13000.0,21
8000.0-11000.0,21
7001.0-10000.0,20
25000.0-30000.0,19
6001.0-10000.0,19
4000.0-4500.0,19
12500.0-16666.0,19
9000.0-13000.0,19
9000.0-11000.0,19
12000.0-24000.0,18
9000.0-10000.0,18
3500.0-7000.0,17
4500.0-5500.0,17
2000.0-3000.0,17
12000.0-16000.0,16
3001.0-5000.0,16
3500.0-5000.0,16
9000.0-18000.0,15
10000.0-14000.0,15
9000.0-14000.0,15
15001.0-25000.0,14
8001.0-12000.0,14
3001.0-6000.0,14
3500.0-4000.0,13
5000.0-7500.0,13
8000.0-14000.0,13
20001.0-30000.0,12
30000.0-60000.0,12
4500.0-6500.0,12
2001.0-4000.0,12
4000.0-10000.0,12
3500.0-4500.0,12
4500.0-8000.0,11
3500.0-6000.0,11
10000.0-11000.0,11
6666.0-8333.0,10
16666.0-25000.0,10
18000.0-25000.0,10
11000.0-16000.0,10
7001.0-14000.0,10
8001.0-15000.0,10
30000.0-50000.0,10
15000.0-18000.0,9
5000.0-20000.0,9
7000.0-13000.0,9
8001.0-13000.0,9
5500.0-7000.0,9
25000.0-35000.0,9
7001.0-9000.0,9
13000.0-20000.0,8
4001.0-7000.0,8
5001.0-10000.0,8
1000.0-2000.0,8
6001.0-9000.0,8
