岗位薪资,数量
10000.0-15000.0,617
6000.0-8000.0,401
8000.0-12000.0,338
15000.0-25000.0,337
8000.0-10000.0,319
5000.0-8000.0,293
5000.0-7000.0,281
6000.0-10000.0,267
4000.0-6000.0,259
5000.0-6000.0,239
15000.0-20000.0,232
7000.0-10000.0,222
10000.0-20000.0,220
0.0-0.0,206
8000.0-13000.0,202
7000.0-12000.0,194
6000.0-9000.0,185
15000.0-30000.0,174
8000.0-15000.0,167
4000.0-5000.0,165
5000.0-10000.0,155
7000.0-9000.0,151
20000.0-40000.0,149
6000.0-7000.0,149
20000.0-30000.0,133
12000.0-18000.0,132
12000.0-20000.0,132
7000.0-8000.0,105
6000.0-12000.0,105
4000.0-8000.0,99
薪资面议,96
9000.0-14000.0,94
8000.0-11000.0,80
8000.0-16000.0,80
12000.0-24000.0,75
11000.0-20000.0,72
9000.0-12000.0,70
12000.0-15000.0,69
10000.0-12000.0,69
7000.0-14000.0,63
4000.0-7000.0,62
3000.0-4000.0,62
3000.0-5000.0,62
10000.0-13000.0,60
6000.0-11000.0,59
25000.0-35000.0,55
5000.0-9000.0,54
25000.0-50000.0,53
12000.0-16000.0,52
9000.0-15000.0,50
11000.0-16000.0,50
3000.0-6000.0,50
7000.0-11000.0,49
9000.0-13000.0,49
11000.0-18000.0,46
13000.0-18000.0,46
13000.0-20000.0,46
18000.0-25000.0,46
20000.0-35000.0,45
10000.0-18000.0,45
20000.0-25000.0,45
11000.0-17000.0,44
15000.0-18000.0,41
8000.0-9000.0,39
10000.0-14000.0,37
11000.0-22000.0,37
9000.0-11000.0,35
10000.0-16000.0,35
9000.0-10000.0,33
11000.0-15000.0,32
18000.0-35000.0,32
14000.0-20000.0,30
25000.0-40000.0,29
30000.0-40000.0,29
8000.0-14000.0,28
15000.0-22000.0,27
14000.0-18000.0,26
30000.0-50000.0,26
12000.0-17000.0,25
18000.0-30000.0,25
13000.0-17000.0,25
13000.0-25000.0,24
13000.0-16000.0,24
2000.0-3000.0,21
16000.0-25000.0,21
13000.0-26000.0,21
30000.0-60000.0,20
4000.0-9000.0,20
12000.0-22000.0,20
25000.0-45000.0,20
25000.0-30000.0,19
9000.0-18000.0,18
15000.0-17000.0,16
7000.0-13000.0,16
10000.0-11000.0,16
15000.0-16000.0,16
13000.0-15000.0,15
9000.0-16000.0,15
15000.0-24000.0,14
12000.0-13000.0,14
15000.0-23000.0,14
18000.0-22000.0,14
12000.0-14000.0,13
16000.0-30000.0,12
15000.0-28000.0,12
18000.0-20000.0,12
14000.0-16000.0,11
2000.0-4000.0,11
18000.0-28000.0,11
16000.0-20000.0,11
14000.0-17000.0,10
30000.0-35000.0,10
15000.0-19000.0,10
14000.0-25000.0,10
14000.0-15000.0,10
13000.0-23000.0,9
20000.0-26000.0,9
11000.0-13000.0,9
17000.0-25000.0,9
10000.0-17000.0,8
11000.0-14000.0,8
13000.0-14000.0,7
11000.0-19000.0,7
15000.0-26000.0,7
25000.0-26000.0,7
16000.0-24000.0,6
13000.0-19000.0,6
16000.0-23000.0,6
14000.0-28000.0,6
40000.0-60000.0,5
22000.0-35000.0,5
9000.0-17000.0,5
35000.0-55000.0,5
14000.0-24000.0,5
20000.0-28000.0,5
16000.0-22000.0,5
35000.0-65000.0,5
17000.0-20000.0,5
18000.0-24000.0,5
50000.0-100000.0,5
35000.0-45000.0,4
18000.0-23000.0,4
23000.0-28000.0,4
22000.0-40000.0,4
30000.0-45000.0,4
23000.0-30000.0,4
12000.0-23000.0,4
22000.0-30000.0,4
10000.0-19000.0,4
14000.0-22000.0,4
40000.0-50000.0,3
19000.0-35000.0,3
24000.0-45000.0,3
1000.0-2000.0,3
15000.0-27000.0,3
50000.0-60000.0,3
18000.0-21000.0,3
40000.0-70000.0,3
4500.0-6000.0,3
17000.0-30000.0,3
24000.0-25000.0,3
18000.0-27000.0,3
16000.0-18000.0,3
18000.0-26000.0,3
16000.0-19000.0,3
50000.0-80000.0,3
17000.0-22000.0,2
27000.0-50000.0,2
13000.0-24000.0,2
40000.0-45000.0,2
70000.0-100000.0,2
28000.0-35000.0,2
14000.0-26000.0,2
2600.0-3000.0,2
20000.0-27000.0,2
16000.0-21000.0,2
18000.0-19000.0,2
35000.0-40000.0,2
50000.0-75000.0,2
28000.0-50000.0,2
4000.0-5500.0,2
35000.0-50000.0,2
24000.0-40000.0,2
25000.0-28000.0,2
21000.0-40000.0,2
1000.0-3000.0,2
6500.0-8000.0,2
16000.0-17000.0,2
16000.0-28000.0,2
3000.0-8000.0,2
13000.0-22000.0,2
40000.0-80000.0,2
20000.0-23000.0,2
17000.0-26000.0,2
22000.0-25000.0,1
28000.0-55000.0,1
3500.0-6000.0,1
19000.0-25000.0,1
120000.0-150000.0,1
19000.0-26000.0,1
14000.0-23000.0,1
19000.0-22000.0,1
19000.0-30000.0,1
16000.0-27000.0,1
24000.0-30000.0,1
45000.0-70000.0,1
17000.0-19000.0,1
21000.0-25000.0,1
21000.0-30000.0,1
26000.0-50000.0,1
17000.0-18000.0,1
45000.0-75000.0,1
21000.0-23000.0,1
60000.0-120000.0,1
23000.0-25000.0,1
80000.0-150000.0,1
7000.0-8300.0,1
26000.0-39000.0,1
60000.0-90000.0,1
14000.0-19000.0,1
20000.0-22000.0,1
18000.0-36000.0,1
180000.0-350000.0,1
17000.0-21000.0,1
17000.0-28000.0,1
5500.0-7000.0,1
22000.0-26000.0,1
17000.0-23000.0,1
6700.0-7500.0,1
5500.0-6500.0,1
6700.0-8000.0,1
16000.0-32000.0,1
7500.0-12000.0,1
60000.0-85000.0,1
15000.0-21000.0,1
19000.0-23000.0,1
5500.0-8000.0,1
23000.0-26000.0,1
13000.0-21000.0,1
17000.0-27000.0,1
14000.0-21000.0,1
30000.0-55000.0,1
12000.0-21000.0,1
11000.0-12000.0,1
20000.0-29000.0,1
23000.0-45000.0,1
55000.0-85000.0,1
25000.0-38000.0,1
26000.0-40000.0,1
4500.0-8000.0,1
4500.0-5500.0,1
35000.0-60000.0,1
26000.0-27000.0,1
