岗位薪资,数量
4000.0-6000.0,604
6000.0-8000.0,599
5000.0-7000.0,496
5000.0-8000.0,459
8000.0-12000.0,427
10000.0-15000.0,422
4000.0-5000.0,400
6000.0-10000.0,344
5000.0-6000.0,334
5000.0-10000.0,318
6000.0-12000.0,290
8000.0-10000.0,286
7000.0-10000.0,273
0.0-0.0,261
8000.0-15000.0,228
4000.0-8000.0,227
10000.0-20000.0,191
3000.0-5000.0,179
7000.0-9000.0,176
6000.0-9000.0,166
4000.0-7000.0,165
3000.0-4000.0,150
6000.0-7000.0,145
7000.0-12000.0,135
3000.0-6000.0,127
8000.0-13000.0,120
15000.0-20000.0,113
15000.0-25000.0,110
5000.0-9000.0,103
7000.0-8000.0,98
8000.0-16000.0,97
7000.0-14000.0,91
15000.0-30000.0,74
9000.0-12000.0,62
10000.0-18000.0,62
20000.0-30000.0,59
10000.0-12000.0,58
8000.0-11000.0,57
9000.0-15000.0,56
12000.0-18000.0,56
6000.0-11000.0,54
10000.0-13000.0,43
7000.0-11000.0,43
9000.0-14000.0,43
10000.0-16000.0,42
12000.0-20000.0,41
20000.0-40000.0,39
9000.0-13000.0,39
11000.0-15000.0,39
8000.0-9000.0,37
9000.0-11000.0,34
9000.0-18000.0,32
12000.0-24000.0,32
12000.0-15000.0,32
8000.0-14000.0,31
2000.0-3000.0,29
20000.0-25000.0,29
10000.0-14000.0,26
12000.0-16000.0,24
15000.0-22000.0,24
11000.0-18000.0,23
12000.0-17000.0,23
9000.0-10000.0,21
13000.0-20000.0,21
18000.0-25000.0,21
7000.0-13000.0,21
25000.0-40000.0,20
11000.0-20000.0,17
2000.0-4000.0,17
30000.0-50000.0,16
10000.0-11000.0,15
13000.0-18000.0,15
9000.0-16000.0,14
20000.0-35000.0,14
14000.0-20000.0,12
11000.0-22000.0,12
16000.0-25000.0,11
18000.0-30000.0,10
13000.0-16000.0,10
10000.0-17000.0,10
25000.0-30000.0,10
11000.0-13000.0,9
1000.0-2000.0,9
9000.0-17000.0,9
12000.0-13000.0,9
12000.0-22000.0,8
11000.0-16000.0,8
3000.0-8000.0,8
11000.0-17000.0,8
15000.0-18000.0,7
25000.0-35000.0,7
17000.0-22000.0,7
12000.0-14000.0,7
30000.0-40000.0,6
16000.0-30000.0,6
15000.0-23000.0,6
4000.0-9000.0,6
13000.0-15000.0,6
薪资面议,6
16000.0-24000.0,6
40000.0-60000.0,6
18000.0-20000.0,6
16000.0-20000.0,6
13000.0-26000.0,6
13000.0-25000.0,5
16000.0-22000.0,5
13000.0-23000.0,5
25000.0-50000.0,5
14000.0-18000.0,5
11000.0-21000.0,4
13000.0-17000.0,4
14000.0-19000.0,3
11000.0-12000.0,3
14000.0-28000.0,3
11000.0-14000.0,3
30000.0-60000.0,3
15000.0-21000.0,3
14000.0-16000.0,3
40000.0-50000.0,3
15000.0-19000.0,3
30000.0-45000.0,3
3000.0-7000.0,2
22000.0-30000.0,2
14000.0-15000.0,2
22000.0-28000.0,2
24000.0-40000.0,2
13000.0-21000.0,2
16000.0-23000.0,2
12000.0-19000.0,2
18000.0-22000.0,2
19000.0-25000.0,2
17000.0-25000.0,2
13000.0-19000.0,2
16000.0-21000.0,2
20000.0-28000.0,2
18000.0-35000.0,2
40000.0-80000.0,2
18000.0-28000.0,2
60000.0-90000.0,2
17000.0-26000.0,2
20000.0-21000.0,2
50000.0-70000.0,2
20000.0-26000.0,2
15000.0-16000.0,2
3500.0-4500.0,2
12000.0-21000.0,2
50000.0-60000.0,2
17000.0-30000.0,2
150000.0-250000.0,1
18000.0-23000.0,1
1500.0-2000.0,1
1000.0-3000.0,1
26000.0-35000.0,1
11000.0-19000.0,1
35000.0-45000.0,1
18000.0-24000.0,1
150000.0-200000.0,1
10000.0-19000.0,1
15000.0-26000.0,1
20000.0-22000.0,1
17000.0-24000.0,1
14000.0-17000.0,1
80000.0-150000.0,1
30000.0-35000.0,1
3500.0-4000.0,1
20000.0-24000.0,1
22000.0-40000.0,1
24000.0-45000.0,1
28000.0-40000.0,1
16000.0-17000.0,1
27000.0-40000.0,1
16000.0-26000.0,1
15000.0-17000.0,1
23000.0-30000.0,1
23000.0-45000.0,1
21000.0-35000.0,1
21000.0-40000.0,1
28000.0-35000.0,1
2700.0-3300.0,1
6500.0-8500.0,1
5500.0-7500.0,1
45000.0-60000.0,1
25000.0-45000.0,1
35000.0-70000.0,1
17000.0-20000.0,1
14000.0-25000.0,1
24000.0-35000.0,1
40000.0-45000.0,1
5600.0-6600.0,1
23000.0-40000.0,1
60000.0-120000.0,1
18000.0-26000.0,1
17000.0-28000.0,1
80000.0-100000.0,1
22000.0-26000.0,1
17000.0-21000.0,1
2000.0-5000.0,1
12500.0-16666.0,1
18000.0-19000.0,1
17000.0-19000.0,1
4500.0-5000.0,1
18000.0-29000.0,1
60000.0-80000.0,1
25000.0-41666.0,1
35000.0-60000.0,1
