岗位薪资,数量
4000.0-6000.0,766
5000.0-10000.0,535
6000.0-8000.0,505
0.0-0.0,472
5000.0-8000.0,451
4000.0-5000.0,390
4000.0-8000.0,379
5000.0-7000.0,364
10000.0-15000.0,356
6000.0-10000.0,293
3000.0-4000.0,285
3000.0-5000.0,282
8000.0-12000.0,271
5000.0-6000.0,260
8000.0-10000.0,257
6000.0-12000.0,232
10000.0-20000.0,232
7000.0-10000.0,231
8000.0-15000.0,222
3000.0-6000.0,190
4000.0-7000.0,162
7000.0-12000.0,126
6000.0-9000.0,122
8000.0-13000.0,102
6000.0-7000.0,100
8000.0-16000.0,98
7000.0-9000.0,98
7000.0-14000.0,95
15000.0-20000.0,93
2000.0-3000.0,92
2000.0-4000.0,87
7000.0-8000.0,86
10000.0-12000.0,78
15000.0-30000.0,76
15000.0-25000.0,70
9000.0-15000.0,62
20000.0-30000.0,59
5000.0-9000.0,57
9000.0-12000.0,56
12000.0-20000.0,55
20000.0-40000.0,46
8000.0-11000.0,43
6000.0-11000.0,41
7000.0-11000.0,39
12000.0-15000.0,38
10000.0-18000.0,36
10000.0-16000.0,34
8000.0-9000.0,33
12000.0-24000.0,31
9000.0-18000.0,30
9000.0-13000.0,30
10000.0-13000.0,28
12000.0-18000.0,27
7000.0-13000.0,26
11000.0-20000.0,26
1000.0-2000.0,26
30000.0-50000.0,25
20000.0-25000.0,24
8000.0-14000.0,24
9000.0-14000.0,22
9000.0-10000.0,20
薪资面议,19
20000.0-35000.0,18
11000.0-16000.0,18
10000.0-11000.0,18
9000.0-11000.0,15
11000.0-22000.0,14
13000.0-18000.0,14
11000.0-15000.0,13
10000.0-14000.0,13
11000.0-18000.0,13
18000.0-35000.0,12
14000.0-20000.0,12
12000.0-16000.0,11
15000.0-24000.0,11
12000.0-17000.0,11
25000.0-35000.0,11
13000.0-20000.0,11
13000.0-15000.0,10
16000.0-25000.0,9
9000.0-16000.0,9
25000.0-40000.0,9
13000.0-25000.0,9
14000.0-28000.0,8
11000.0-17000.0,8
30000.0-40000.0,8
15000.0-22000.0,8
4000.0-9000.0,8
13000.0-26000.0,7
14000.0-18000.0,7
18000.0-25000.0,7
25000.0-30000.0,7
12000.0-13000.0,7
15000.0-18000.0,7
9000.0-17000.0,6
10000.0-17000.0,6
11000.0-19000.0,6
18000.0-30000.0,6
11000.0-14000.0,6
50000.0-100000.0,5
11000.0-13000.0,5
70000.0-140000.0,5
25000.0-50000.0,5
12000.0-14000.0,5
13000.0-16000.0,5
20000.0-21000.0,5
80000.0-160000.0,5
11000.0-12000.0,5
16000.0-20000.0,4
16000.0-24000.0,4
14000.0-16000.0,4
30000.0-60000.0,4
14000.0-25000.0,4
21000.0-40000.0,4
12000.0-23000.0,4
18000.0-20000.0,4
13000.0-19000.0,4
15000.0-23000.0,4
16000.0-30000.0,3
12000.0-19000.0,3
20000.0-28000.0,3
13000.0-17000.0,3
14000.0-23000.0,3
18000.0-22000.0,3
40000.0-50000.0,3
25000.0-45000.0,3
23000.0-35000.0,3
90000.0-180000.0,3
3500.0-5000.0,2
15000.0-17000.0,2
13000.0-24000.0,2
60000.0-120000.0,2
60000.0-90000.0,2
13000.0-14000.0,2
50000.0-70000.0,2
18000.0-21000.0,2
16000.0-28000.0,2
40000.0-65000.0,2
40000.0-80000.0,2
35000.0-40000.0,2
80000.0-100000.0,2
30000.0-35000.0,2
60000.0-100000.0,2
50000.0-80000.0,2
18000.0-24000.0,2
3000.0-8000.0,2
16000.0-21000.0,2
19000.0-20000.0,2
40000.0-60000.0,2
25000.0-26000.0,2
35000.0-45000.0,2
14000.0-24000.0,2
12000.0-22000.0,2
16000.0-23000.0,2
15000.0-21000.0,1
29000.0-50000.0,1
70000.0-120000.0,1
26000.0-30000.0,1
20000.0-23000.0,1
17000.0-27000.0,1
80000.0-130000.0,1
17000.0-22000.0,1
22000.0-30000.0,1
15000.0-28000.0,1
16000.0-18000.0,1
26000.0-50000.0,1
18000.0-23000.0,1
1000.0-4000.0,1
23000.0-40000.0,1
24000.0-40000.0,1
2000.0-6000.0,1
13000.0-21000.0,1
45000.0-70000.0,1
12000.0-21000.0,1
18000.0-26000.0,1
22000.0-40000.0,1
55000.0-110000.0,1
26000.0-27000.0,1
15000.0-16000.0,1
21000.0-30000.0,1
14000.0-17000.0,1
11000.0-21000.0,1
150000.0-250000.0,1
20000.0-22000.0,1
16000.0-22000.0,1
17000.0-20000.0,1
3500.0-4500.0,1
14000.0-22000.0,1
24000.0-30000.0,1
16000.0-17000.0,1
40000.0-45000.0,1
65000.0-80000.0,1
70000.0-80000.0,1
19000.0-26000.0,1
3500.0-4000.0,1
17000.0-19000.0,1
14000.0-15000.0,1
100000.0-200000.0,1
10000.0-19000.0,1
