岗位薪资,数量
4000.0-6000.0,897
5000.0-10000.0,469
6000.0-8000.0,465
5000.0-8000.0,463
4000.0-8000.0,374
10000.0-15000.0,371
6000.0-10000.0,371
5000.0-7000.0,338
3000.0-5000.0,338
8000.0-15000.0,325
8000.0-10000.0,304
8000.0-12000.0,290
3000.0-4000.0,268
0.0-0.0,268
10000.0-20000.0,264
4000.0-5000.0,252
6000.0-12000.0,244
3000.0-6000.0,231
7000.0-10000.0,216
5000.0-6000.0,208
7000.0-12000.0,196
4000.0-7000.0,191
7000.0-9000.0,163
8000.0-16000.0,149
6000.0-9000.0,137
15000.0-25000.0,120
7000.0-14000.0,118
15000.0-30000.0,104
2000.0-4000.0,97
6000.0-7000.0,91
8000.0-13000.0,91
15000.0-20000.0,87
5000.0-9000.0,75
7000.0-8000.0,69
12000.0-20000.0,57
20000.0-40000.0,54
2000.0-3000.0,54
6000.0-11000.0,47
12000.0-24000.0,44
9000.0-15000.0,40
10000.0-12000.0,39
9000.0-12000.0,39
8000.0-11000.0,38
10000.0-18000.0,38
20000.0-30000.0,37
12000.0-18000.0,36
9000.0-14000.0,36
12000.0-15000.0,35
10000.0-13000.0,33
8000.0-9000.0,30
12000.0-16000.0,29
9000.0-18000.0,27
10000.0-14000.0,26
7000.0-11000.0,26
9000.0-13000.0,25
7000.0-13000.0,24
10000.0-16000.0,22
8000.0-14000.0,17
11000.0-18000.0,17
9000.0-10000.0,16
18000.0-25000.0,16
11000.0-16000.0,15
11000.0-22000.0,14
11000.0-20000.0,14
薪资面议,14
11000.0-15000.0,13
20000.0-25000.0,13
15000.0-18000.0,12
13000.0-20000.0,12
9000.0-11000.0,12
10000.0-11000.0,11
3000.0-8000.0,11
13000.0-15000.0,11
15000.0-22000.0,11
20000.0-35000.0,11
13000.0-25000.0,10
4000.0-9000.0,10
9000.0-16000.0,9
30000.0-50000.0,9
13000.0-16000.0,8
30000.0-60000.0,8
25000.0-50000.0,8
1000.0-2000.0,7
16000.0-25000.0,7
12000.0-17000.0,7
13000.0-26000.0,7
18000.0-35000.0,6
12000.0-22000.0,6
12000.0-13000.0,6
25000.0-40000.0,5
11000.0-12000.0,5
13000.0-18000.0,5
14000.0-22000.0,4
14000.0-16000.0,4
14000.0-20000.0,4
14000.0-28000.0,4
12000.0-14000.0,4
9000.0-17000.0,4
16000.0-22000.0,4
25000.0-35000.0,4
11000.0-17000.0,4
18000.0-30000.0,4
17000.0-21000.0,4
14000.0-25000.0,3
40000.0-80000.0,3
4000.0-5500.0,3
15000.0-19000.0,3
25000.0-45000.0,3
60000.0-80000.0,3
11000.0-19000.0,3
25000.0-30000.0,3
30000.0-35000.0,2
20000.0-28000.0,2
18000.0-26000.0,2
30000.0-40000.0,2
18000.0-22000.0,2
50000.0-55000.0,2
11000.0-14000.0,2
16000.0-23000.0,2
13000.0-21000.0,2
40000.0-60000.0,2
16000.0-30000.0,2
11000.0-13000.0,2
15000.0-23000.0,2
15000.0-21000.0,2
13000.0-17000.0,2
10000.0-17000.0,2
15000.0-24000.0,2
17000.0-25000.0,2
25000.0-41666.0,2
3500.0-6000.0,1
2000.0-5000.0,1
10000.0-19000.0,1
14000.0-23000.0,1
60000.0-120000.0,1
5500.0-6500.0,1
13000.0-23000.0,1
15000.0-28000.0,1
70000.0-120000.0,1
16000.0-18000.0,1
17000.0-22000.0,1
80000.0-100000.0,1
17000.0-30000.0,1
120000.0-240000.0,1
13000.0-22000.0,1
90000.0-160000.0,1
16000.0-21000.0,1
18000.0-29000.0,1
3500.0-5500.0,1
22000.0-30000.0,1
200000.0-250000.0,1
13000.0-19000.0,1
120000.0-130000.0,1
18000.0-23000.0,1
240000.0-250000.0,1
4500.0-5500.0,1
14000.0-21000.0,1
50000.0-70000.0,1
80000.0-130000.0,1
50000.0-75000.0,1
14000.0-18000.0,1
21000.0-25000.0,1
50000.0-80000.0,1
20000.0-26000.0,1
11000.0-21000.0,1
20000.0-21000.0,1
500.0-1000.0,1
18000.0-27000.0,1
4500.0-6500.0,1
15000.0-16000.0,1
40000.0-50000.0,1
16000.0-24000.0,1
16000.0-19000.0,1
40000.0-45000.0,1
12000.0-19000.0,1
12000.0-21000.0,1
12500.0-16666.0,1
15000.0-20833.0,1
17000.0-20000.0,1
28000.0-40000.0,1
22000.0-35000.0,1
