岗位薪资,数量
10000.0-15000.0,651
6000.0-8000.0,421
8000.0-12000.0,299
15000.0-25000.0,295
5000.0-7000.0,285
5000.0-8000.0,281
6000.0-10000.0,247
10000.0-20000.0,247
5000.0-6000.0,240
8000.0-13000.0,233
4000.0-6000.0,230
8000.0-15000.0,222
8000.0-10000.0,222
5000.0-10000.0,216
15000.0-30000.0,205
15000.0-20000.0,195
0.0-0.0,187
7000.0-12000.0,186
4000.0-5000.0,180
7000.0-10000.0,174
6000.0-12000.0,161
6000.0-7000.0,158
7000.0-9000.0,151
6000.0-9000.0,144
20000.0-30000.0,144
12000.0-20000.0,143
7000.0-8000.0,123
薪资面议,119
10000.0-12000.0,105
12000.0-18000.0,99
20000.0-40000.0,96
8000.0-16000.0,95
9000.0-12000.0,89
4000.0-8000.0,88
9000.0-14000.0,84
12000.0-16000.0,82
4000.0-7000.0,81
12000.0-15000.0,78
11000.0-20000.0,76
12000.0-24000.0,72
11000.0-18000.0,72
10000.0-18000.0,71
8000.0-9000.0,69
3000.0-4000.0,68
8000.0-11000.0,66
7000.0-14000.0,63
9000.0-15000.0,60
20000.0-25000.0,55
18000.0-25000.0,51
10000.0-14000.0,50
6000.0-11000.0,50
20000.0-35000.0,50
10000.0-13000.0,48
11000.0-16000.0,47
7000.0-11000.0,47
9000.0-13000.0,44
5000.0-9000.0,43
13000.0-20000.0,41
11000.0-22000.0,40
25000.0-35000.0,40
3000.0-5000.0,39
30000.0-50000.0,38
12000.0-17000.0,38
15000.0-18000.0,38
13000.0-18000.0,35
9000.0-10000.0,35
13000.0-16000.0,34
10000.0-16000.0,33
11000.0-15000.0,33
13000.0-15000.0,31
8000.0-14000.0,30
14000.0-20000.0,29
9000.0-11000.0,28
15000.0-22000.0,27
30000.0-40000.0,27
10000.0-11000.0,25
18000.0-30000.0,25
25000.0-50000.0,24
25000.0-40000.0,24
11000.0-13000.0,23
30000.0-60000.0,23
2000.0-3000.0,22
14000.0-17000.0,20
13000.0-25000.0,19
7000.0-13000.0,19
12000.0-22000.0,19
14000.0-18000.0,19
13000.0-17000.0,18
15000.0-16000.0,18
15000.0-17000.0,18
25000.0-30000.0,17
3000.0-6000.0,17
11000.0-17000.0,17
9000.0-18000.0,17
11000.0-12000.0,17
16000.0-25000.0,16
11000.0-14000.0,16
30000.0-45000.0,15
4000.0-9000.0,14
16000.0-30000.0,14
18000.0-22000.0,13
25000.0-45000.0,13
12000.0-14000.0,12
13000.0-26000.0,12
18000.0-35000.0,11
14000.0-24000.0,11
2000.0-4000.0,10
16000.0-20000.0,10
13000.0-19000.0,10
15000.0-23000.0,10
40000.0-60000.0,10
12000.0-13000.0,10
10000.0-19000.0,9
50000.0-70000.0,9
9000.0-16000.0,9
17000.0-20000.0,8
14000.0-28000.0,8
14000.0-16000.0,8
17000.0-30000.0,8
15000.0-24000.0,8
10000.0-17000.0,8
12000.0-19000.0,8
15000.0-19000.0,8
16000.0-22000.0,8
18000.0-28000.0,8
20000.0-28000.0,7
15000.0-21000.0,7
12000.0-21000.0,7
35000.0-50000.0,7
18000.0-36000.0,7
15000.0-26000.0,7
14000.0-25000.0,7
13000.0-14000.0,6
40000.0-70000.0,6
11000.0-19000.0,6
22000.0-35000.0,6
18000.0-19000.0,6
50000.0-80000.0,5
40000.0-80000.0,5
14000.0-15000.0,5
17000.0-27000.0,5
17000.0-19000.0,5
1000.0-2000.0,5
17000.0-18000.0,5
14000.0-22000.0,5
16000.0-18000.0,4
15000.0-28000.0,4
17000.0-23000.0,4
23000.0-28000.0,4
17000.0-25000.0,4
2700.0-3200.0,4
40000.0-50000.0,4
18000.0-23000.0,4
14000.0-21000.0,4
12000.0-23000.0,4
18000.0-26000.0,4
35000.0-45000.0,3
3000.0-8000.0,3
19000.0-26000.0,3
13000.0-23000.0,3
30000.0-55000.0,3
20000.0-24000.0,3
9000.0-17000.0,3
18000.0-24000.0,3
35000.0-70000.0,3
14000.0-23000.0,3
80000.0-150000.0,3
100000.0-200000.0,3
60000.0-100000.0,3
20000.0-23000.0,2
11000.0-21000.0,2
35000.0-65000.0,2
60000.0-80000.0,2
13000.0-22000.0,2
13000.0-21000.0,2
19000.0-30000.0,2
21000.0-40000.0,2
150000.0-200000.0,2
17000.0-22000.0,2
50000.0-60000.0,2
40000.0-65000.0,2
16000.0-26000.0,2
22000.0-40000.0,2
45000.0-65000.0,2
18000.0-20000.0,2
35000.0-55000.0,2
100000.0-150000.0,2
17000.0-24000.0,2
14000.0-19000.0,2
28000.0-55000.0,2
16000.0-23000.0,2
13000.0-24000.0,2
60000.0-90000.0,2
24000.0-30000.0,2
16000.0-19000.0,2
5500.0-7000.0,1
14000.0-26000.0,1
6500.0-7500.0,1
16000.0-17000.0,1
28000.0-40000.0,1
20000.0-33000.0,1
5500.0-8000.0,1
26000.0-45000.0,1
22000.0-30000.0,1
50000.0-100000.0,1
19000.0-23000.0,1
18000.0-27000.0,1
35000.0-40000.0,1
18000.0-21000.0,1
25000.0-28000.0,1
75000.0-110000.0,1
24000.0-45000.0,1
60000.0-85000.0,1
90000.0-160000.0,1
80000.0-100000.0,1
31000.0-62000.0,1
50000.0-90000.0,1
21000.0-29000.0,1
23000.0-40000.0,1
16000.0-29000.0,1
17000.0-29000.0,1
80000.0-120000.0,1
17000.0-34000.0,1
5800.0-7000.0,1
4500.0-6500.0,1
22000.0-28000.0,1
23000.0-46000.0,1
20000.0-26000.0,1
16000.0-24000.0,1
4500.0-5500.0,1
15000.0-29000.0,1
28000.0-50000.0,1
20000.0-27000.0,1
3000.0-7000.0,1
19000.0-38000.0,1
28000.0-35000.0,1
21000.0-30000.0,1
5000.0-6500.0,1
21000.0-35000.0,1
3000.0-4500.0,1
1000.0-3000.0,1
23000.0-30000.0,1
14000.0-27000.0,1
20000.0-29000.0,1
26000.0-30000.0,1
15000.0-27000.0,1
27000.0-35000.0,1
2000.0-3500.0,1
25000.0-26000.0,1
16000.0-21000.0,1
70000.0-100000.0,1
5500.0-7500.0,1
