岗位薪资,数量
5000.0-8000.0,548
4000.0-6000.0,516
8000.0-12000.0,510
10000.0-15000.0,433
6000.0-8000.0,425
3000.0-5000.0,364
5000.0-7000.0,344
8000.0-10000.0,256
薪资面议,252
5000.0-10000.0,251
0.0-0.0,249
6000.0-10000.0,237
10000.0-20000.0,234
4000.0-5000.0,221
6000.0-9000.0,218
8000.0-15000.0,195
4000.0-7000.0,180
4000.0-8000.0,175
15000.0-20000.0,167
12000.0-20000.0,166
3000.0-4000.0,163
15000.0-25000.0,141
12000.0-18000.0,140
6000.0-12000.0,135
15000.0-30000.0,129
7000.0-10000.0,123
5000.0-6000.0,117
4500.0-6000.0,101
20000.0-30000.0,92
20000.0-25000.0,91
8000.0-16000.0,89
3000.0-6000.0,84
2000.0-3000.0,80
10001.0-15000.0,64
7000.0-12000.0,64
3000.0-4500.0,61
4001.0-6000.0,55
8000.0-13000.0,52
9000.0-15000.0,51
7000.0-9000.0,49
2000.0-4000.0,49
7000.0-8000.0,49
5000.0-9000.0,48
6000.0-7000.0,48
6001.0-8000.0,46
7000.0-14000.0,41
25000.0,40
10000.0-12000.0,39
20000.0-40000.0,36
10000.0-18000.0,36
9000.0-12000.0,32
5001.0-7000.0,32
10001.0-20000.0,30
12000.0-15000.0,30
10000.0-13000.0,29
8001.0-10000.0,29
8000.0-11000.0,28
5001.0-8000.0,27
6001.0-10000.0,27
11000.0-15000.0,25
8001.0-15000.0,25
15001.0-20000.0,24
4001.0-7000.0,24
5001.0-10000.0,23
12000.0-16000.0,22
3001.0-5000.0,21
4001.0-5000.0,21
25000.0-30000.0,20
10000.0-16000.0,20
25000.0-35000.0,19
13000.0-18000.0,19
30000.0-50000.0,19
15000.0-18000.0,18
25000.0-50000.0,18
8000.0-14000.0,18
15001.0-30000.0,17
8333.0-12500.0,17
7000.0-13000.0,17
1000.0-2000.0,16
7000.0-11000.0,16
2001.0-3000.0,16
3001.0-4000.0,16
20000.0-35000.0,15
3500.0-5000.0,15
6000.0-11000.0,15
6001.0-9000.0,15
12000.0-24000.0,14
8001.0-16000.0,14
