岗位薪资,数量
10000.0-15000.0,632
15000.0-25000.0,469
15000.0-30000.0,416
15000.0-20000.0,339
20000.0-40000.0,307
10000.0-20000.0,304
0.0-0.0,257
20000.0-30000.0,248
8000.0-12000.0,236
6000.0-8000.0,229
8000.0-10000.0,208
12000.0-20000.0,203
8000.0-15000.0,159
6000.0-7000.0,142
7000.0-10000.0,132
12000.0-18000.0,127
6000.0-10000.0,125
8000.0-13000.0,116
12000.0-24000.0,115
薪资面议,112
20000.0-35000.0,112
7000.0-9000.0,112
25000.0-35000.0,100
6000.0-9000.0,96
7000.0-12000.0,92
13000.0-20000.0,91
25000.0-50000.0,91
9000.0-12000.0,89
25000.0-40000.0,86
12000.0-15000.0,84
10000.0-12000.0,82
18000.0-25000.0,79
7000.0-8000.0,79
5000.0-7000.0,79
11000.0-20000.0,79
30000.0-50000.0,78
20000.0-25000.0,78
13000.0-18000.0,78
10000.0-18000.0,76
10000.0-13000.0,74
15000.0-22000.0,72
8000.0-16000.0,70
18000.0-35000.0,70
9000.0-14000.0,69
15000.0-18000.0,68
18000.0-30000.0,66
12000.0-16000.0,62
5000.0-8000.0,61
6000.0-12000.0,60
9000.0-13000.0,57
11000.0-22000.0,56
9000.0-15000.0,56
25000.0-30000.0,55
11000.0-18000.0,55
11000.0-16000.0,54
10000.0-14000.0,54
13000.0-16000.0,52
8000.0-11000.0,51
5000.0-6000.0,50
14000.0-20000.0,50
5000.0-10000.0,46
30000.0-40000.0,45
13000.0-15000.0,44
12000.0-17000.0,44
30000.0-60000.0,42
8000.0-9000.0,42
14000.0-18000.0,41
13000.0-25000.0,40
9000.0-11000.0,40
16000.0-20000.0,39
13000.0-26000.0,37
30000.0-45000.0,35
9000.0-10000.0,34
10000.0-16000.0,34
4000.0-5000.0,32
7000.0-14000.0,32
16000.0-22000.0,32
11000.0-15000.0,31
12000.0-22000.0,29
4000.0-6000.0,29
25000.0-45000.0,29
11000.0-17000.0,28
14000.0-19000.0,27
17000.0-25000.0,26
12000.0-14000.0,26
8000.0-14000.0,25
6000.0-11000.0,24
16000.0-25000.0,24
15000.0-16000.0,23
5000.0-9000.0,22
18000.0-22000.0,22
3000.0-4000.0,22
11000.0-13000.0,22
13000.0-22000.0,22
18000.0-28000.0,21
10000.0-11000.0,21
10000.0-17000.0,19
15000.0-19000.0,19
9000.0-18000.0,19
14000.0-16000.0,19
40000.0-60000.0,19
7000.0-11000.0,18
16000.0-30000.0,18
15000.0-17000.0,18
15000.0-21000.0,18
4000.0-8000.0,18
14000.0-15000.0,18
18000.0-36000.0,17
17000.0-20000.0,17
9000.0-16000.0,16
15000.0-28000.0,16
14000.0-28000.0,16
30000.0-35000.0,15
17000.0-22000.0,15
14000.0-17000.0,15
13000.0-17000.0,14
15000.0-23000.0,14
50000.0-80000.0,13
11000.0-14000.0,13
4000.0-7000.0,13
20000.0-26000.0,13
1000.0-2000.0,13
40000.0-70000.0,13
14000.0-25000.0,13
2000.0-3000.0,12
7000.0-13000.0,12
11000.0-12000.0,11
18000.0-24000.0,11
13000.0-23000.0,11
3000.0-5000.0,11
18000.0-20000.0,11
22000.0-30000.0,11
12000.0-13000.0,11
15000.0-24000.0,11
16000.0-21000.0,11
12000.0-19000.0,11
3000.0-6000.0,10
22000.0-35000.0,10
18000.0-23000.0,10
14000.0-22000.0,10
13000.0-14000.0,10
16000.0-18000.0,9
13000.0-19000.0,9
30000.0-55000.0,9
20000.0-28000.0,9
9000.0-17000.0,9
12000.0-21000.0,9
14000.0-21000.0,9
35000.0-45000.0,8
13000.0-21000.0,8
11000.0-19000.0,8
28000.0-40000.0,8
18000.0-21000.0,7
13000.0-24000.0,7
11000.0-21000.0,7
15000.0-26000.0,7
50000.0-70000.0,7
50000.0-100000.0,7
16000.0-19000.0,6
19000.0-20000.0,6
40000.0-50000.0,6
23000.0-40000.0,6
22000.0-40000.0,6
35000.0-50000.0,5
16000.0-17000.0,5
40000.0-80000.0,5
20000.0-21000.0,5
12000.0-23000.0,5
14000.0-23000.0,5
16000.0-24000.0,5
35000.0-60000.0,5
17000.0-28000.0,4
40000.0-45000.0,4
17000.0-23000.0,4
17000.0-21000.0,4
20000.0-23000.0,4
16000.0-28000.0,4
24000.0-30000.0,4
17000.0-30000.0,4
24000.0-45000.0,4
22000.0-28000.0,4
17000.0-34000.0,4
28000.0-35000.0,4
28000.0-55000.0,4
21000.0-40000.0,3
15000.0-29000.0,3
10000.0-19000.0,3
17000.0-24000.0,3
21000.0-35000.0,3
19000.0-35000.0,3
23000.0-45000.0,3
20000.0-22000.0,3
16000.0-23000.0,3
20000.0-24000.0,3
40000.0-65000.0,3
18000.0-19000.0,3
15000.0-27000.0,3
35000.0-55000.0,3
23000.0-35000.0,3
2000.0-4000.0,3
70000.0-100000.0,3
45000.0-75000.0,3
23000.0-30000.0,3
19000.0-30000.0,2
23000.0-25000.0,2
16000.0-32000.0,2
18000.0-26000.0,2
35000.0-65000.0,2
50000.0-90000.0,2
100000.0-200000.0,2
17000.0-18000.0,2
26000.0-40000.0,2
24000.0-35000.0,2
26000.0-35000.0,2
23000.0-46000.0,2
19000.0-25000.0,2
21000.0-30000.0,2
14000.0-24000.0,2
40000.0-55000.0,2
14000.0-26000.0,2
29000.0-40000.0,2
