岗位薪资,数量
10000.0-15000.0,549
4000.0-6000.0,447
6000.0-8000.0,424
5000.0-7000.0,360
8000.0-12000.0,347
0.0-0.0,315
4000.0-5000.0,306
6000.0-10000.0,290
5000.0-8000.0,272
15000.0-25000.0,269
8000.0-10000.0,254
8000.0-15000.0,248
5000.0-6000.0,248
7000.0-10000.0,228
10000.0-20000.0,223
5000.0-10000.0,196
4000.0-8000.0,179
15000.0-30000.0,179
20000.0-40000.0,170
8000.0-13000.0,166
6000.0-9000.0,160
6000.0-12000.0,148
7000.0-12000.0,139
15000.0-20000.0,139
3000.0-5000.0,136
7000.0-9000.0,128
3000.0-4000.0,127
12000.0-20000.0,116
6000.0-7000.0,112
8000.0-16000.0,110
3000.0-6000.0,103
4000.0-7000.0,100
12000.0-18000.0,98
7000.0-8000.0,92
7000.0-14000.0,89
20000.0-30000.0,87
9000.0-12000.0,75
12000.0-15000.0,74
9000.0-15000.0,66
10000.0-12000.0,65
9000.0-14000.0,64
10000.0-18000.0,62
9000.0-13000.0,62
20000.0-35000.0,60
12000.0-24000.0,59
薪资面议,53
5000.0-9000.0,53
10000.0-13000.0,52
7000.0-11000.0,47
8000.0-9000.0,46
6000.0-11000.0,45
8000.0-11000.0,43
8000.0-14000.0,42
10000.0-14000.0,41
11000.0-20000.0,39
18000.0-25000.0,39
13000.0-20000.0,37
25000.0-50000.0,37
11000.0-15000.0,36
20000.0-25000.0,36
2000.0-3000.0,36
11000.0-18000.0,36
12000.0-16000.0,33
10000.0-16000.0,33
25000.0-35000.0,31
15000.0-18000.0,30
11000.0-16000.0,30
18000.0-30000.0,29
12000.0-17000.0,28
16000.0-25000.0,28
15000.0-22000.0,28
9000.0-11000.0,26
25000.0-40000.0,26
9000.0-10000.0,24
10000.0-11000.0,24
13000.0-18000.0,24
7000.0-13000.0,24
13000.0-15000.0,23
13000.0-17000.0,21
13000.0-25000.0,21
11000.0-22000.0,21
9000.0-18000.0,19
18000.0-35000.0,18
2000.0-4000.0,18
16000.0-20000.0,17
11000.0-13000.0,17
12000.0-14000.0,17
11000.0-14000.0,17
13000.0-16000.0,17
25000.0-30000.0,16
10000.0-17000.0,16
14000.0-18000.0,15
16000.0-30000.0,15
15000.0-23000.0,14
9000.0-16000.0,13
30000.0-50000.0,13
12000.0-22000.0,12
11000.0-19000.0,12
18000.0-22000.0,11
30000.0-60000.0,11
11000.0-12000.0,10
18000.0-20000.0,10
14000.0-20000.0,10
14000.0-28000.0,9
4000.0-9000.0,9
9000.0-17000.0,9
14000.0-16000.0,9
11000.0-17000.0,8
13000.0-14000.0,8
14000.0-15000.0,8
15000.0-17000.0,7
30000.0-40000.0,7
22000.0-30000.0,7
14000.0-19000.0,7
1000.0-2000.0,7
18000.0-28000.0,7
17000.0-25000.0,6
14000.0-24000.0,6
15000.0-28000.0,6
20000.0-21000.0,6
25000.0-45000.0,5
30000.0-35000.0,5
21000.0-30000.0,5
19000.0-25000.0,4
12000.0-23000.0,4
23000.0-28000.0,4
20000.0-28000.0,4
15000.0-16000.0,4
14000.0-17000.0,4
3000.0-8000.0,4
14000.0-22000.0,4
17000.0-30000.0,4
18000.0-23000.0,4
13000.0-23000.0,4
17000.0-20000.0,4
18000.0-27000.0,3
12000.0-13000.0,3
17000.0-21000.0,3
13000.0-22000.0,3
16000.0-18000.0,3
18000.0-24000.0,3
40000.0-80000.0,3
16000.0-24000.0,3
22000.0-25000.0,3
12000.0-21000.0,3
20000.0-27000.0,2
22000.0-26000.0,2
19000.0-22000.0,2
40000.0-60000.0,2
28000.0-30000.0,2
15000.0-21000.0,2
2500.0-3000.0,2
140000.0-180000.0,2
16000.0-22000.0,2
4500.0-6000.0,2
13000.0-26000.0,2
15000.0-24000.0,2
22000.0-35000.0,2
30000.0-55000.0,2
23000.0-35000.0,2
16000.0-23000.0,2
16000.0-17000.0,2
11000.0-21000.0,2
3000.0-7000.0,2
30000.0-45000.0,2
17000.0-34000.0,2
17000.0-22000.0,2
15000.0-27000.0,2
18000.0-26000.0,2
17000.0-23000.0,2
36000.0-50000.0,1
22000.0-40000.0,1
80000.0-150000.0,1
16000.0-32000.0,1
21000.0-40000.0,1
35000.0-50000.0,1
500.0-1000.0,1
35000.0-60000.0,1
17000.0-24000.0,1
23000.0-45000.0,1
20000.0-24000.0,1
35000.0-46000.0,1
13000.0-19000.0,1
50000.0-80000.0,1
19000.0-35000.0,1
45000.0-60000.0,1
17000.0-28000.0,1
19000.0-27000.0,1
27000.0-50000.0,1
10000.0-19000.0,1
14000.0-25000.0,1
60000.0-80000.0,1
2000.0-5000.0,1
19000.0-38000.0,1
50000.0-70000.0,1
16000.0-28000.0,1
50000.0-75000.0,1
16000.0-27000.0,1
20000.0-29000.0,1
35000.0-45000.0,1
50000.0-100000.0,1
17000.0-18000.0,1
15000.0-29000.0,1
28000.0-40000.0,1
80000.0-110000.0,1
22000.0-23000.0,1
3500.0-5000.0,1
24000.0-29000.0,1
15000.0-19000.0,1
45000.0-65000.0,1
180000.0-250000.0,1
21000.0-35000.0,1
17000.0-27000.0,1
5000.0-6500.0,1
150000.0-200000.0,1
20000.0-36000.0,1
26000.0-30000.0,1
18000.0-19000.0,1
19000.0-20000.0,1
23000.0-30000.0,1
