岗位薪资,数量
6000.0-8000.0,582
4000.0-6000.0,546
10000.0-15000.0,544
5000.0-7000.0,417
8000.0-12000.0,396
4000.0-5000.0,374
5000.0-10000.0,370
5000.0-8000.0,370
5000.0-6000.0,277
6000.0-10000.0,270
8000.0-10000.0,269
10000.0-20000.0,261
6000.0-12000.0,260
8000.0-15000.0,242
7000.0-10000.0,201
0.0-0.0,194
4000.0-8000.0,188
15000.0-25000.0,179
3000.0-4000.0,165
3000.0-5000.0,156
7000.0-9000.0,151
7000.0-12000.0,149
8000.0-16000.0,148
15000.0-30000.0,141
6000.0-7000.0,133
7000.0-14000.0,130
6000.0-9000.0,126
10000.0-12000.0,125
4000.0-7000.0,119
12000.0-20000.0,110
15000.0-20000.0,103
8000.0-13000.0,100
3000.0-6000.0,83
20000.0-30000.0,78
7000.0-8000.0,76
12000.0-18000.0,72
5000.0-9000.0,71
20000.0-40000.0,65
9000.0-12000.0,62
12000.0-24000.0,58
10000.0-18000.0,57
10000.0-13000.0,54
8000.0-9000.0,53
9000.0-15000.0,51
8000.0-11000.0,49
12000.0-15000.0,49
6000.0-11000.0,44
8000.0-14000.0,44
9000.0-14000.0,44
9000.0-11000.0,41
2000.0-3000.0,35
13000.0-18000.0,33
10000.0-14000.0,33
11000.0-20000.0,33
9000.0-13000.0,31
12000.0-16000.0,28
7000.0-11000.0,27
20000.0-35000.0,26
10000.0-16000.0,26
13000.0-20000.0,25
13000.0-26000.0,24
25000.0-50000.0,24
20000.0-25000.0,23
7000.0-13000.0,23
2000.0-4000.0,22
薪资面议,21
9000.0-18000.0,21
14000.0-18000.0,20
15000.0-18000.0,19
11000.0-17000.0,18
11000.0-22000.0,17
11000.0-16000.0,17
11000.0-15000.0,16
18000.0-25000.0,16
30000.0-50000.0,16
15000.0-22000.0,15
10000.0-11000.0,15
16000.0-30000.0,15
25000.0-35000.0,15
15000.0-16000.0,15
12000.0-17000.0,14
25000.0-40000.0,13
16000.0-18000.0,12
14000.0-16000.0,12
13000.0-16000.0,12
1000.0-2000.0,11
14000.0-20000.0,11
18000.0-30000.0,10
11000.0-18000.0,10
13000.0-25000.0,10
9000.0-10000.0,10
30000.0-60000.0,10
10000.0-17000.0,9
14000.0-28000.0,9
30000.0-40000.0,8
25000.0-45000.0,8
9000.0-16000.0,8
4000.0-9000.0,8
16000.0-25000.0,7
15000.0-17000.0,7
13000.0-15000.0,7
11000.0-14000.0,7
13000.0-17000.0,7
11000.0-13000.0,7
14000.0-25000.0,6
16000.0-20000.0,6
19000.0-21000.0,6
15000.0-23000.0,5
11000.0-21000.0,5
15000.0-21000.0,5
12000.0-13000.0,5
13000.0-19000.0,5
30000.0-45000.0,5
25000.0-30000.0,5
17000.0-25000.0,5
15000.0-28000.0,4
18000.0-24000.0,4
3000.0-8000.0,4
14000.0-23000.0,4
12000.0-22000.0,4
16000.0-17000.0,4
18000.0-35000.0,4
2000.0-5000.0,4
16000.0-22000.0,4
11000.0-19000.0,4
18000.0-20000.0,4
22000.0-24000.0,4
150000.0-250000.0,4
40000.0-60000.0,3
13000.0-22000.0,3
19000.0-23000.0,3
50000.0-70000.0,3
2000.0-7000.0,3
2500.0-3200.0,3
50000.0-100000.0,3
100000.0-200000.0,3
35000.0-55000.0,3
9000.0-17000.0,3
20000.0-22000.0,3
3000.0-7000.0,3
14000.0-22000.0,3
12000.0-14000.0,3
17000.0-18000.0,3
17000.0-24000.0,3
35000.0-45000.0,3
50000.0-80000.0,3
30000.0-35000.0,3
20000.0-23000.0,3
35000.0-50000.0,2
11000.0-12000.0,2
18000.0-28000.0,2
13000.0-23000.0,2
17000.0-30000.0,2
26000.0-35000.0,2
14000.0-17000.0,2
16000.0-28000.0,2
13000.0-24000.0,2
35000.0-60000.0,2
15000.0-24000.0,2
18000.0-23000.0,2
18000.0-26000.0,2
55000.0-100000.0,2
3500.0-5000.0,2
18000.0-19000.0,2
12000.0-23000.0,2
14000.0-15000.0,2
20000.0-28000.0,2
70000.0-100000.0,2
18000.0-22000.0,1
26000.0-40000.0,1
12000.0-19000.0,1
16000.0-24000.0,1
22000.0-25000.0,1
150000.0-160000.0,1
45000.0-60000.0,1
20000.0-21000.0,1
3500.0-4500.0,1
35000.0-70000.0,1
40000.0-65000.0,1
24000.0-40000.0,1
4000.0-5500.0,1
24000.0-45000.0,1
13000.0-21000.0,1
200000.0-210000.0,1
3500.0-6000.0,1
60000.0-65000.0,1
18000.0-21000.0,1
15000.0-27000.0,1
16000.0-23000.0,1
1000.0-3000.0,1
21000.0-35000.0,1
24000.0-35000.0,1
22000.0-23000.0,1
35000.0-65000.0,1
12000.0-21000.0,1
16000.0-26000.0,1
17000.0-19000.0,1
23000.0-30000.0,1
19000.0-35000.0,1
150000.0-240000.0,1
5500.0-7500.0,1
5000.0-5600.0,1
19000.0-29000.0,1
19000.0-27000.0,1
30000.0-55000.0,1
45000.0-70000.0,1
28000.0-35000.0,1
35000.0-40000.0,1
15000.0-26000.0,1
14000.0-26000.0,1
17000.0-20000.0,1
13000.0-14000.0,1
28000.0-50000.0,1
17000.0-21000.0,1
80000.0-100000.0,1
