岗位薪资,数量
4000.0-6000.0,697
6000.0-8000.0,562
10000.0-15000.0,418
8000.0-10000.0,400
5000.0-8000.0,377
5000.0-10000.0,366
4000.0-8000.0,325
6000.0-10000.0,323
薪资面议,282
0.0-0.0,279
3000.0-5000.0,274
8000.0-12000.0,257
5000.0-7000.0,255
4000.0-5000.0,210
6000.0-12000.0,194
8000.0-15000.0,183
3000.0-4000.0,181
3000.0-6000.0,178
4000.0-7000.0,171
10000.0-20000.0,168
5000.0-6000.0,155
15000.0-20000.0,148
7000.0-10000.0,125
6000.0-9000.0,117
7000.0-12000.0,100
9000.0-12000.0,95
4001.0-6000.0,91
7000.0-9000.0,91
4500.0-6000.0,86
6001.0-8000.0,85
6000.0-7000.0,83
8000.0-16000.0,83
5000.0-9000.0,82
2000.0-4000.0,78
15000.0-25000.0,76
7000.0-14000.0,65
10001.0-15000.0,65
15000.0-30000.0,62
6000.0-11000.0,62
20000.0-30000.0,61
8000.0-13000.0,57
10000.0-12000.0,57
3000.0-4500.0,54
12000.0-20000.0,51
7000.0-8000.0,48
9000.0-15000.0,47
20000.0-40000.0,41
8001.0-10000.0,38
2000.0-3000.0,37
12000.0-15000.0,37
4001.0-8000.0,33
8000.0-11000.0,32
6001.0-10000.0,30
7000.0-13000.0,28
3001.0-5000.0,27
5001.0-8000.0,26
4000.0-9000.0,26
10000.0-18000.0,25
6001.0-12000.0,25
9500.0-16000.0,24
3001.0-6000.0,24
5001.0-10000.0,23
12000.0-18000.0,23
8000.0-9000.0,21
10000.0-13000.0,21
20000.0-25000.0,20
7000.0-11000.0,20
8001.0-12000.0,19
8001.0-15000.0,19
8000.0-14000.0,18
10000.0-16000.0,17
9000.0-11000.0,17
3001.0-4000.0,17
5001.0-7000.0,17
15001.0-20000.0,16
15000.0-18000.0,16
9000.0-18000.0,16
5500.0-7500.0,16
30000.0-50000.0,15
5001.0-6000.0,15
12000.0-24000.0,14
8500.0-12000.0,14
10000.0-14000.0,14
14000.0-18000.0,14
9500.0-12000.0,14
10001.0-20000.0,13
9000.0-14000.0,13
100000.0-150000.0,13
9000.0-10000.0,13
9000.0-13000.0,12
4001.0-5000.0,12
20000.0-35000.0,12
9500.0-13000.0,12
12500.0-16666.0,11
3500.0-4500.0,10
3500.0-7000.0,10
13000.0-26000.0,10
12000.0-16000.0,10
25000.0-35000.0,10
2001.0-4000.0,10
13000.0-18000.0,9
100.0-100.0,9
4001.0-7000.0,9
18000.0-22000.0,8
80000.0-100000.0,8
3500.0-5000.0,8
11000.0-18000.0,8
8333.0-12500.0,8
1000.0-2000.0,8
30000.0-60000.0,8
10000.0-11000.0,8
8001.0-16000.0,8
150000.0-200000.0,8
4000.0-10000.0,8
25000.0-33333.0,8
3000.0-8000.0,8
4000.0-4500.0,7
4500.0-6500.0,7
5001.0-9000.0,7
18000.0-25000.0,7
20000.0-50000.0,7
11000.0-15000.0,7
10000.0-30000.0,6
50000.0-70000.0,6
25000.0-30000.0,6
13000.0-25000.0,6
8000.0-20000.0,6
5000.0-12000.0,6
6000.0-15000.0,6
9000.0-16000.0,6
1500.0-2000.0,5
5800.0-7500.0,5
4500.0-7000.0,5
9000.0-20000.0,5
12000.0-22000.0,5
13000.0-15000.0,5
13000.0-20000.0,5
12000.0-17000.0,5
6001.0-7000.0,4
16000.0-20000.0,4
8001.0-13000.0,4
17000.0-21000.0,4
9800.0-15000.0,4
9800.0-12000.0,4
2001.0-3000.0,4
15833.0-20833.0,4
7001.0-12000.0,4
16666.0-25000.0,4
3500.0-4000.0,4
5500.0-6800.0,4
7001.0-10000.0,4
25000.0-40000.0,4
7001.0-9000.0,4
14000.0-39000.0,4
3500.0-6000.0,4
30000.0-35000.0,4
40000.0-60000.0,4
16000.0-21000.0,4
15001.0-30000.0,4
3200.0-8000.0,4
4500.0-8000.0,4
5000.0-5000.0,3
14000.0-16000.0,3
7001.0-14000.0,3
84000.0-84000.0,3
11000.0-12000.0,3
5000.0-15000.0,3
24000.0-45000.0,3
12001.0-15000.0,3
96000.0-96000.0,3
10000.0-25000.0,3
14000.0-28000.0,3
4000.0-12000.0,3
6500.0-8500.0,3
3000.0-3600.0,3
6666.0-8333.0,3
80000.0-160000.0,3
25000.0-45000.0,3
10001.0-13000.0,3
11000.0-16000.0,3
11000.0-20000.0,3
18000.0-20000.0,3
5500.0-7000.0,3
25000.0,3
4500.0-5000.0,3
4000.0-5500.0,3
15000.0-23000.0,3
40000.0-80000.0,3
15000.0-21000.0,3
8500.0-13000.0,3
6001.0-9000.0,3
24000.0-35000.0,3
16001.0-21000.0,2
11000.0-22000.0,2
30000.0-37000.0,2
60000.0-180000.0,2
20001.0-35000.0,2
6666.0-12500.0,2
12500.0-20833.0,2
25000.0-29000.0,2
12001.0-18000.0,2
20001.0-40000.0,2
6666.0-13333.0,2
25000.0-50000.0,2
4500.0-7825.0,2
7001.0-8000.0,2
12000.0-14000.0,2
6666.0-16666.0,2
3700.0-4500.0,2
200000.0-400000.0,2
7001.0-11000.0,2
15000.0-17000.0,2
5500.0-6000.0,2
36000.0-84000.0,2
30000.0-40000.0,2
30000.0-45000.0,2
5500.0-11000.0,2
7350.0-8350.0,2
200000.0-300000.0,2
2800.0-3500.0,2
12001.0-14000.0,2
6000.0-6000.0,2
120000.0-200000.0,2
10000.0-19000.0,2
300000.0-400000.0,2
15000.0-26000.0,2
7000.0-15000.0,2
128.0-128.0,2
14000.0-25000.0,2
5000.0-7500.0,2
19000.0-26000.0,2
3000.0-7000.0,2
15000.0-28000.0,2
5500.0-8000.0,2
15001.0-25000.0,2
9302.0-15266.0,2
9500.0-14000.0,2
6500.0-7500.0,2
1500.0,2
8884.0-12300.0,2
24000.0-25000.0,2
15000.0-22000.0,2
14000.0-30000.0,2
3000.0-3500.0,2
18000.0-28000.0,2
19000.0-23000.0,2
10000.0-17000.0,2
8500.0-11500.0,2
50000.0-80000.0,2
120000.0-240000.0,2
4500.0-4500.0,2
7001.0-13000.0,2
16000.0-25000.0,2
4600.0-8000.0,2
17000.0-25000.0,2
3500.0-8000.0,2
15000.0-19000.0,2
15000.0-17500.0,2
40000.0-50000.0,2
18000.0-40000.0,2
3800.0-6000.0,2
5500.0-6500.0,2
40000.0-70000.0,1
25000.0-32000.0,1
22000.0-35000.0,1
5000.0-8500.0,1
6800.0-8500.0,1
15000.0-40000.0,1
36000.0-72000.0,1
100000.0-300000.0,1
13000.0-16000.0,1
100000.0-190000.0,1
14000.0-19000.0,1
60000.0-72000.0,1
35000.0-50000.0,1
20000.0-23000.0,1
60000.0-84000.0,1
11000.0-25000.0,1
72000.0-96000.0,1
120000.0-360000.0,1
2800.0-3000.0,1
