岗位薪资,数量
10000.0-15000.0,560
6000.0-8000.0,416
8000.0-12000.0,372
4000.0-6000.0,345
5000.0-8000.0,318
10000.0-20000.0,314
5000.0-7000.0,308
15000.0-30000.0,306
8000.0-10000.0,283
6000.0-10000.0,268
8000.0-15000.0,247
5000.0-10000.0,242
15000.0-25000.0,221
8000.0-13000.0,219
7000.0-10000.0,219
7000.0-12000.0,204
4000.0-5000.0,202
5000.0-6000.0,195
6000.0-9000.0,193
15000.0-20000.0,192
0.0-0.0,182
7000.0-9000.0,175
6000.0-12000.0,158
12000.0-18000.0,130
12000.0-20000.0,126
4000.0-8000.0,124
5000.0-9000.0,120
4000.0-7000.0,113
12000.0-24000.0,108
20000.0-30000.0,108
10000.0-18000.0,105
6000.0-7000.0,97
8000.0-16000.0,97
7000.0-14000.0,91
12000.0-15000.0,83
3000.0-5000.0,82
9000.0-15000.0,80
11000.0-20000.0,73
7000.0-8000.0,73
6000.0-11000.0,68
9000.0-12000.0,65
9000.0-14000.0,64
7000.0-11000.0,64
20000.0-40000.0,64
10000.0-12000.0,61
8000.0-11000.0,55
13000.0-20000.0,52
9000.0-13000.0,51
13000.0-18000.0,50
10000.0-13000.0,50
3000.0-4000.0,47
10000.0-16000.0,42
7000.0-13000.0,42
12000.0-16000.0,42
20000.0-25000.0,42
薪资面议,40
11000.0-18000.0,38
11000.0-22000.0,36
9000.0-18000.0,36
20000.0-35000.0,33
8000.0-14000.0,31
8000.0-9000.0,30
10000.0-14000.0,28
11000.0-15000.0,26
15000.0-22000.0,25
25000.0-35000.0,25
2000.0-3000.0,25
3000.0-6000.0,25
11000.0-16000.0,24
15000.0-18000.0,23
9000.0-11000.0,23
13000.0-25000.0,23
25000.0-30000.0,23
18000.0-25000.0,22
30000.0-50000.0,21
18000.0-30000.0,21
12000.0-17000.0,21
9000.0-16000.0,20
25000.0-40000.0,18
9000.0-10000.0,17
30000.0-40000.0,17
30000.0-60000.0,16
13000.0-17000.0,16
14000.0-18000.0,16
14000.0-20000.0,16
12000.0-22000.0,15
18000.0-35000.0,15
16000.0-20000.0,15
16000.0-30000.0,15
25000.0-50000.0,14
1000.0-2000.0,14
10000.0-11000.0,14
11000.0-17000.0,13
14000.0-25000.0,13
11000.0-14000.0,13
11000.0-19000.0,13
9000.0-17000.0,12
30000.0-35000.0,12
15000.0-21000.0,11
16000.0-22000.0,11
16000.0-25000.0,10
14000.0-28000.0,10
14000.0-22000.0,10
30000.0-45000.0,9
14000.0-19000.0,9
15000.0-23000.0,9
4000.0-9000.0,9
13000.0-22000.0,9
10000.0-17000.0,9
13000.0-15000.0,9
13000.0-16000.0,9
15000.0-28000.0,8
13000.0-26000.0,8
10000.0-19000.0,8
25000.0-45000.0,8
2000.0-4000.0,8
18000.0-23000.0,7
17000.0-25000.0,7
14000.0-24000.0,7
17000.0-22000.0,7
35000.0-50000.0,7
15000.0-24000.0,7
16000.0-21000.0,6
15000.0-16000.0,6
12000.0-23000.0,6
15000.0-17000.0,6
29000.0-55000.0,6
28000.0-40000.0,6
13000.0-23000.0,6
14000.0-17000.0,6
17000.0-30000.0,5
11000.0-13000.0,5
12000.0-21000.0,5
12000.0-13000.0,5
14000.0-16000.0,5
15000.0-19000.0,5
18000.0-28000.0,5
12000.0-19000.0,5
14000.0-23000.0,5
35000.0-65000.0,4
13000.0-21000.0,4
60000.0-80000.0,4
50000.0-80000.0,4
40000.0-80000.0,4
12000.0-14000.0,4
20000.0-21000.0,4
16000.0-18000.0,4
13000.0-19000.0,4
16000.0-24000.0,4
11000.0-21000.0,4
11000.0-12000.0,4
40000.0-60000.0,4
20000.0-27000.0,3
14000.0-15000.0,3
16000.0-23000.0,3
50000.0-60000.0,3
20000.0-28000.0,3
40000.0-70000.0,3
40000.0-50000.0,3
3000.0-8000.0,3
17000.0-20000.0,3
16000.0-28000.0,3
20000.0-26000.0,3
18000.0-22000.0,3
17000.0-24000.0,3
18000.0-24000.0,2
40000.0-55000.0,2
35000.0-40000.0,2
35000.0-70000.0,2
18000.0-27000.0,2
35000.0-60000.0,2
19000.0-23000.0,2
15000.0-29000.0,2
20000.0-22000.0,2
15000.0-27000.0,2
22000.0-35000.0,2
15000.0-26000.0,2
26000.0-50000.0,2
28000.0-35000.0,2
28000.0-30000.0,2
35000.0-45000.0,2
18000.0-20000.0,2
17000.0-27000.0,2
18000.0-36000.0,2
30000.0-55000.0,2
13000.0-14000.0,2
29000.0-45000.0,1
70000.0-100000.0,1
50000.0-55000.0,1
200000.0-250000.0,1
240000.0-250000.0,1
2700.0-2800.0,1
150000.0-200000.0,1
27000.0-30000.0,1
27000.0-40000.0,1
50000.0-100000.0,1
22000.0-40000.0,1
18000.0-21000.0,1
55000.0-85000.0,1
19000.0-30000.0,1
50000.0-90000.0,1
3000.0-7000.0,1
17000.0-21000.0,1
2500.0-5000.0,1
14000.0-27000.0,1
17000.0-18000.0,1
80000.0-100000.0,1
28000.0-50000.0,1
5500.0-5600.0,1
5000.0-6500.0,1
5800.0-6500.0,1
22000.0-29000.0,1
19000.0-25000.0,1
5500.0-7500.0,1
16000.0-17000.0,1
14000.0-21000.0,1
19000.0-24000.0,1
20000.0-23000.0,1
60000.0-120000.0,1
17000.0-23000.0,1
21000.0-25000.0,1
40000.0-75000.0,1
6500.0-8000.0,1
17000.0-26000.0,1
24000.0-35000.0,1
50000.0-70000.0,1
80000.0-140000.0,1
4500.0-6000.0,1
23000.0-30000.0,1
150000.0-250000.0,1
21000.0-40000.0,1
21000.0-30000.0,1
4500.0-7000.0,1
