岗位薪资,数量
薪资面议,430
5000.0-8000.0,273
8000.0-12000.0,250
10000.0-15000.0,138
6000.0-8000.0,134
12000.0-20000.0,98
10000.0-20000.0,96
8000.0-10000.0,84
8000.0-15000.0,78
3000.0-5000.0,77
6001.0-8000.0,70
6000.0-10000.0,66
6000.0-12000.0,57
4000.0-6000.0,56
4001.0-6000.0,55
0.0-0.0,49
15000.0-20000.0,44
8001.0-10000.0,42
5000.0-10000.0,41
5000.0-7000.0,38
5000.0-6000.0,35
8000.0-16000.0,30
6000.0-7000.0,30
7000.0-12000.0,30
6000.0-9000.0,29
4000.0,27
7000.0-10000.0,27
4000.0-5000.0,26
4500.0-6000.0,25
4001.0-5000.0,25
15000.0-30000.0,23
4000.0-8000.0,23
10001.0-15000.0,19
15000.0-25000.0,19
25000.0,18
7000.0-9000.0,18
3000.0-6000.0,17
12000.0-18000.0,16
8000.0-13000.0,16
20000.0-25000.0,16
7000.0-14000.0,15
10000.0-13000.0,14
4000.0-7000.0,14
9000.0-12000.0,14
10000.0-12000.0,14
15001.0-20000.0,13
9000.0-15000.0,12
3001.0-4000.0,12
70000.0-100000.0,11
5001.0-6000.0,11
4500.0-5999.0,11
2001.0-4000.0,10
5000.0-7999.0,10
8000.0-11000.0,10
10000.0-18000.0,10
12000.0-15000.0,9
2001.0-3000.0,8
8000.0-9000.0,8
7000.0-8000.0,7
20000.0-30000.0,7
3000.0-4500.0,7
50000.0-70000.0,7
13000.0-20000.0,7
8000.0-14000.0,7
14000.0-18000.0,7
8001.0-12000.0,7
9000.0-10000.0,7
11000.0-14000.0,7
2000.0-3000.0,7
20000.0-40000.0,7
6001.0-12000.0,6
9000.0-13000.0,6
6000.0-11000.0,6
9000.0-18000.0,6
3000.0-4499.0,6
7000.0-11000.0,6
7000.0-13000.0,5
10000.0-11000.0,5
20000.0-35000.0,5
12000.0-24000.0,5
10000.0-16000.0,5
6666.0-8333.0,5
9000.0-14000.0,4
6000.0-7999.0,4
9000.0-20000.0,4
6000.0-6500.0,4
7001.0-14000.0,4
4500.0-8000.0,4
15000.0-16666.0,4
20001.0-30000.0,4
13000.0-18000.0,4
18001.0-25000.0,4
7000.0-15000.0,4
8000.0-20000.0,4
18000.0-22000.0,4
3000.0-4000.0,4
11000.0-20000.0,4
5000.0-9000.0,4
30000.0-50000.0,3
2000.0-2999.0,3
8000.0-9999.0,3
11000.0-15000.0,3
8001.0-15000.0,3
13000.0-15000.0,3
5001.0-10000.0,3
18000.0-25000.0,3
9000.0-11000.0,3
8001.0-16000.0,3
3500.0-5000.0,3
5500.0-6000.0,3
12000.0-16000.0,3
12000.0-17000.0,3
6001.0-10000.0,3
13000.0-26000.0,3
60000.0-80000.0,3
11000.0-16000.0,3
18000.0-21000.0,3
9001.0-12000.0,3
40000.0-45000.0,2
100000.0-200000.0,2
5000.0-6666.0,2
8000.0-18000.0,2
15001.0-30000.0,2
100000.0-120000.0,2
5000.0-8500.0,2
60000.0-70000.0,2
20000.0-20000.0,2
80000.0-100000.0,2
7001.0-8000.0,2
5500.0-7000.0,2
4500.0-7000.0,2
100000.0-140000.0,2
96000.0-96000.0,2
10001.0-20000.0,2
1000.0,2
10001.0-16000.0,2
40001.0-45000.0,2
4166.0-12500.0,2
12001.0-20000.0,2
0.0-10000.0,2
17500.0-25000.0,2
120000.0-180000.0,2
9500.0-15200.0,2
14000.0-17000.0,2
15000.0-18000.0,2
18000.0-24000.0,2
25000.0-27000.0,2
25000.0-35000.0,2
14000.0-20000.0,2
11000.0-22000.0,2
16000.0-22000.0,2
130000.0-250000.0,2
25000.0-40000.0,2
16000.0-30000.0,2
10000.0-14000.0,2
11000.0-13000.0,2
14000.0-16000.0,2
5001.0-7000.0,2
12000.0-14000.0,2
15001.0-25000.0,2
11000.0-21000.0,2
21000.0-24000.0,1
17000.0-19000.0,1
5500.0-8000.0,1
3500.0,1
140000.0-280000.0,1
17000.0-25000.0,1
70000.0-120000.0,1
7001.0-13000.0,1
7000.0-7500.0,1
200000.0-390000.0,1
5000.0-5500.0,1
6500.0-9000.0,1
15000.0-21000.0,1
13000.0-23000.0,1
5500.0-6500.0,1
10000.0-30000.0,1
3000.0-3500.0,1
4500.0-5000.0,1
70000.0-110000.0,1
240000.0-300000.0,1
16000.0-20000.0,1
10000.0-14999.0,1
22000.0-25000.0,1
11666.0-16666.0,1
10000.0-10000.0,1
3000.0-3900.0,1
15000.0-22000.0,1
200000.0-250000.0,1
3000.0-7000.0,1
9000.0-16000.0,1
3300.0-4000.0,1
21000.0-40000.0,1
3500.0-6000.0,1
2500.0-5600.0,1
180000.0-480000.0,1
360000.0-480000.0,1
100000.0-180000.0,1
120000.0-220000.0,1
37500.0-54166.0,1
13000.0-14000.0,1
50000.0-100000.0,1
5833.0-8333.0,1
12500.0-16666.0,1
80000.0-15000.0,1
80000.0-10000.0,1
11000.0-18000.0,1
60000.0-72000.0,1
75000.0-75000.0,1
15000.0-15000.0,1
25000.0-25000.0,1
19000.0-20000.0,1
18000.0-35000.0,1
10000.0-25000.0,1
8500.0-13000.0,1
12001.0-24000.0,1
18001.0-35000.0,1
12000.0-13000.0,1
8500.0-12500.0,1
9001.0-15000.0,1
4500.0-5500.0,1
7001.0-10000.0,1
5000.0-8333.0,1
13001.0-20000.0,1
8001.0-13000.0,1
120000.0-150000.0,1
10001.0-14000.0,1
12001.0-16000.0,1
2000.0-5000.0,1
7.0-9.0,1
16000.0-26000.0,1
3000.0-10000.0,1
8333.0-11666.0,1
11000.0-17000.0,1
18000.0-27000.0,1
30001.0-50000.0,1
16666.0-25000.0,1
20000.0-50000.0,1
150000.0-300000.0,1
60000.0-84000.0,1
18000.0-28000.0,1
4001.0-7000.0,1
4001.0-8000.0,1
20000.0-60000.0,1
10000.0-17000.0,1
18000.0-26000.0,1
10001.0-13000.0,1
6000.0-7900.0,1
13001.0-22000.0,1
6500.0-7800.0,1
4500.0-9000.0,1
13000.0-16000.0,1
14000.0-25000.0,1
6000.0-15000.0,1
7500.0-8000.0,1
16000.0-25000.0,1
9000.0-17000.0,1
9000.0-25000.0,1
