岗位薪资,数量
6000.0-8000.0,680
4000.0-6000.0,557
10000.0-15000.0,523
5000.0-10000.0,365
8000.0-12000.0,339
8000.0-10000.0,313
5000.0-8000.0,311
5000.0-7000.0,292
6000.0-10000.0,284
4000.0-8000.0,284
0.0-0.0,262
8000.0-15000.0,238
10000.0-20000.0,237
3000.0-5000.0,225
6000.0-12000.0,212
4000.0-5000.0,206
7000.0-10000.0,198
薪资面议,159
5000.0-6000.0,149
15000.0-20000.0,148
3000.0-6000.0,146
4000.0-7000.0,138
7000.0-9000.0,132
7000.0-14000.0,132
6000.0-9000.0,125
3000.0-4000.0,114
7000.0-12000.0,109
8000.0-16000.0,102
15000.0-25000.0,101
9000.0-15000.0,92
15000.0-30000.0,88
5000.0-9000.0,73
9000.0-12000.0,72
20000.0-30000.0,72
12000.0-20000.0,63
2000.0-4000.0,60
6000.0-7000.0,58
8000.0-13000.0,58
4001.0-6000.0,56
10001.0-15000.0,55
6001.0-8000.0,55
10000.0-12000.0,51
12000.0-18000.0,47
8001.0-10000.0,46
9000.0-13000.0,43
20000.0-40000.0,42
4500.0-6000.0,38
6000.0-11000.0,37
12000.0-15000.0,34
7000.0-13000.0,34
8000.0-11000.0,33
7000.0-8000.0,31
9000.0-18000.0,31
5001.0-10000.0,31
3000.0-4500.0,30
4500.0-7000.0,30
2000.0-3000.0,30
10000.0-18000.0,29
3001.0-5000.0,28
7000.0-11000.0,28
20000.0-25000.0,25
30000.0-50000.0,25
10000.0-13000.0,24
4001.0-8000.0,24
9000.0-14000.0,23
8000.0-9000.0,23
5001.0-7000.0,23
10000.0-16000.0,22
11000.0-15000.0,20
8000.0-14000.0,20
9000.0-11000.0,19
9800.0-12000.0,18
13000.0-25000.0,17
5001.0-8000.0,17
13000.0-18000.0,16
4001.0-5000.0,16
3001.0-4000.0,15
20000.0-35000.0,15
10000.0-14000.0,15
12000.0-16000.0,15
8001.0-12000.0,15
25000.0-35000.0,15
6001.0-10000.0,15
12000.0-24000.0,15
6001.0-12000.0,14
3001.0-6000.0,14
8001.0-15000.0,14
1000.0-2000.0,14
13000.0-20000.0,13
11000.0-22000.0,13
10001.0-20000.0,12
3500.0-5000.0,12
11000.0-16000.0,12
30000.0-60000.0,12
2001.0-3000.0,12
11000.0-17000.0,11
30000.0-40000.0,11
12500.0-16666.0,11
11000.0-20000.0,11
11000.0-18000.0,10
14000.0-18000.0,10
9000.0-17000.0,10
10001.0-12000.0,10
15001.0-20000.0,10
