岗位薪资,数量
4000.0-6000.0,813
6000.0-8000.0,526
3000.0-5000.0,483
3000.0-4000.0,456
4000.0-5000.0,388
5000.0-10000.0,343
4000.0-8000.0,339
5000.0-8000.0,331
5000.0-7000.0,327
6000.0-10000.0,319
0.0-0.0,311
10000.0-15000.0,292
8000.0-12000.0,287
2000.0-4000.0,284
8000.0-10000.0,262
3000.0-6000.0,259
5000.0-6000.0,257
6000.0-12000.0,233
8000.0-15000.0,231
10000.0-20000.0,211
4000.0-7000.0,185
7000.0-10000.0,182
2000.0-3000.0,136
6000.0-9000.0,130
7000.0-9000.0,114
8000.0-16000.0,111
7000.0-12000.0,109
15000.0-25000.0,102
15000.0-20000.0,97
7000.0-14000.0,91
8000.0-13000.0,88
6000.0-7000.0,84
15000.0-30000.0,80
7000.0-8000.0,67
20000.0-30000.0,52
5000.0-9000.0,51
9000.0-15000.0,46
12000.0-20000.0,41
9000.0-12000.0,41
10000.0-12000.0,40
8000.0-9000.0,39
20000.0-40000.0,39
9000.0-14000.0,37
12000.0-15000.0,37
8000.0-11000.0,34
10000.0-16000.0,33
10000.0-13000.0,33
7000.0-11000.0,33
12000.0-24000.0,32
10000.0-18000.0,29
9000.0-18000.0,29
8000.0-14000.0,28
6000.0-11000.0,28
9000.0-13000.0,27
10000.0-14000.0,25
11000.0-16000.0,25
11000.0-22000.0,24
20000.0-25000.0,22
11000.0-20000.0,22
12000.0-18000.0,21
7000.0-13000.0,21
12000.0-16000.0,20
11000.0-15000.0,18
9000.0-10000.0,18
薪资面议,17
12000.0-17000.0,16
1000.0-2000.0,16
15000.0-18000.0,14
13000.0-26000.0,14
13000.0-18000.0,14
25000.0-35000.0,13
10000.0-17000.0,13
13000.0-20000.0,13
11000.0-18000.0,13
11000.0-17000.0,13
30000.0-50000.0,12
9000.0-16000.0,12
13000.0-15000.0,11
11000.0-12000.0,11
20000.0-35000.0,10
9000.0-17000.0,10
10000.0-11000.0,10
15000.0-22000.0,9
11000.0-13000.0,9
16000.0-30000.0,9
13000.0-25000.0,9
12000.0-22000.0,8
16000.0-20000.0,8
25000.0-50000.0,8
16000.0-25000.0,7
18000.0-25000.0,7
4000.0-9000.0,7
14000.0-20000.0,6
9000.0-11000.0,6
14000.0-28000.0,6
12000.0-13000.0,5
12000.0-19000.0,5
13000.0-16000.0,5
11000.0-14000.0,5
18000.0-30000.0,5
25000.0-30000.0,5
15000.0-16000.0,5
14000.0-22000.0,5
25000.0-40000.0,4
16000.0-22000.0,4
18000.0-22000.0,4
18000.0-35000.0,4
30000.0-40000.0,4
17000.0-23000.0,4
15000.0-24000.0,4
2000.0-6000.0,4
15000.0-23000.0,4
16000.0-28000.0,4
13000.0-23000.0,3
16000.0-26000.0,3
30000.0-60000.0,3
15000.0-28000.0,3
18000.0-23000.0,3
16000.0-29000.0,3
14000.0-25000.0,3
14000.0-18000.0,3
18000.0-28000.0,3
3000.0-8000.0,3
14000.0-17000.0,3
14000.0-15000.0,2
16000.0-19000.0,2
11000.0-19000.0,2
18000.0-20000.0,2
13000.0-19000.0,2
50000.0-70000.0,2
15000.0-26000.0,2
17000.0-30000.0,2
2000.0-5000.0,2
16000.0-24000.0,2
25000.0-45000.0,2
15000.0-21000.0,2
13000.0-17000.0,2
18000.0-19000.0,2
100000.0-200000.0,2
15000.0-17000.0,2
17000.0-25000.0,2
18000.0-26000.0,2
10000.0-19000.0,2
17000.0-18000.0,1
80000.0-120000.0,1
4000.0-4500.0,1
3000.0-4500.0,1
120000.0-130000.0,1
16000.0-32000.0,1
15000.0-19000.0,1
22000.0-40000.0,1
12000.0-14000.0,1
35000.0-45000.0,1
50000.0-100000.0,1
28000.0-40000.0,1
18000.0-27000.0,1
19000.0-20000.0,1
17000.0-22000.0,1
150000.0-200000.0,1
1500.0-2000.0,1
60000.0-100000.0,1
19000.0-30000.0,1
14000.0-16000.0,1
23000.0-35000.0,1
28000.0-35000.0,1
2500.0-5000.0,1
18000.0-24000.0,1
40000.0-70000.0,1
18000.0-21000.0,1
3500.0-6000.0,1
12000.0-21000.0,1
25000.0-41666.0,1
120000.0-180000.0,1
60000.0-85000.0,1
24000.0-25000.0,1
24000.0-26000.0,1
12000.0-23000.0,1
40000.0-55000.0,1
21000.0-30000.0,1
13000.0-21000.0,1
40000.0-80000.0,1
21000.0-28000.0,1
13000.0-22000.0,1
3500.0-4500.0,1
180000.0-250000.0,1
80000.0-140000.0,1
35000.0-70000.0,1
40000.0-60000.0,1
