岗位薪资,数量
10000.0-15000.0,526
6000.0-8000.0,512
4000.0-6000.0,491
0.0-0.0,402
10000.0-20000.0,372
8000.0-12000.0,364
5000.0-8000.0,323
5000.0-7000.0,319
6000.0-10000.0,312
5000.0-10000.0,310
8000.0-10000.0,287
8000.0-15000.0,284
4000.0-5000.0,261
6000.0-12000.0,232
7000.0-10000.0,210
4000.0-8000.0,194
5000.0-6000.0,164
15000.0-20000.0,162
15000.0-25000.0,159
3000.0-5000.0,158
15000.0-30000.0,158
8000.0-16000.0,152
6000.0-9000.0,143
8000.0-13000.0,137
3000.0-4000.0,137
4000.0-7000.0,137
7000.0-12000.0,135
7000.0-14000.0,129
7000.0-9000.0,122
12000.0-24000.0,112
20000.0-30000.0,99
5000.0-9000.0,85
12000.0-18000.0,81
12000.0-20000.0,79
10000.0-13000.0,75
6000.0-7000.0,69
20000.0-40000.0,69
3000.0-6000.0,68
10000.0-12000.0,59
9000.0-12000.0,55
9000.0-15000.0,54
9000.0-18000.0,54
10000.0-18000.0,53
7000.0-11000.0,53
12000.0-15000.0,52
20000.0-25000.0,50
7000.0-8000.0,45
7000.0-13000.0,45
8000.0-14000.0,42
8000.0-11000.0,41
11000.0-20000.0,39
10000.0-14000.0,37
6000.0-11000.0,35
8000.0-9000.0,34
9000.0-13000.0,33
13000.0-20000.0,32
12000.0-16000.0,32
11000.0-15000.0,31
10000.0-16000.0,31
2000.0-4000.0,31
11000.0-18000.0,31
薪资面议,29
11000.0-22000.0,28
2000.0-3000.0,27
14000.0-20000.0,27
20000.0-35000.0,26
13000.0-26000.0,26
9000.0-14000.0,25
11000.0-16000.0,25
9000.0-10000.0,23
9000.0-11000.0,22
15000.0-22000.0,21
15000.0-18000.0,20
13000.0-25000.0,20
12000.0-17000.0,19
10000.0-11000.0,19
13000.0-18000.0,18
18000.0-25000.0,18
25000.0-40000.0,18
25000.0-50000.0,17
9000.0-16000.0,16
14000.0-18000.0,14
14000.0-28000.0,14
15000.0-28000.0,13
13000.0-15000.0,13
25000.0-35000.0,13
30000.0-60000.0,13
12000.0-22000.0,13
10000.0-17000.0,12
30000.0-50000.0,12
14000.0-16000.0,11
13000.0-16000.0,11
30000.0-40000.0,11
25000.0-30000.0,10
11000.0-17000.0,10
9000.0-17000.0,10
11000.0-14000.0,9
1000.0-2000.0,9
16000.0-30000.0,9
11000.0-19000.0,8
4500.0-6000.0,8
8333.0-12500.0,7
14000.0-25000.0,7
18000.0-30000.0,7
18000.0-22000.0,7
18000.0-35000.0,7
13000.0-17000.0,7
15000.0-23000.0,7
14000.0-15000.0,6
11000.0-13000.0,6
40000.0-60000.0,6
18000.0-20000.0,6
13000.0-22000.0,6
16000.0-25000.0,6
17000.0-30000.0,5
4000.0-9000.0,5
3000.0-4500.0,5
16000.0-20000.0,5
12000.0-14000.0,5
15000.0-17000.0,5
12000.0-23000.0,5
8333.0-16666.0,4
3500.0-5000.0,4
13000.0-21000.0,4
5001.0-7000.0,4
14000.0-19000.0,4
15000.0-16000.0,4
3000.0-8000.0,4
14000.0-22000.0,4
15000.0-19000.0,4
13000.0-14000.0,4
8333.0-10000.0,3
14000.0-24000.0,3
35000.0-45000.0,3
11000.0-21000.0,3
35000.0-70000.0,3
12000.0-21000.0,3
40000.0-50000.0,3
3200.0-4500.0,3
15000.0-21000.0,3
16000.0-18000.0,3
15000.0-24000.0,3
25000.0-45000.0,3
11000.0-12000.0,3
4500.0-7000.0,3
14000.0-17000.0,3
40000.0-80000.0,2
20000.0-28000.0,2
30000.0-45000.0,2
23000.0-28000.0,2
4001.0-6000.0,2
16000.0-32000.0,2
10000.0-19000.0,2
5500.0-7000.0,2
50000.0-70000.0,2
60000.0-90000.0,2
3500.0-6000.0,2
1500.0-2000.0,2
8999.0-12999.0,2
28000.0-35000.0,2
16666.0-25000.0,2
18000.0-23000.0,2
17000.0-23000.0,2
30000.0-35000.0,2
12000.0-13000.0,2
12000.0-19000.0,2
22000.0-40000.0,2
5000.0-6500.0,2
18000.0-26000.0,2
17000.0-22000.0,2
17000.0-25000.0,2
18000.0-28000.0,2
5800.0-10000.0,1
7500.0-15000.0,1
4000.0-5500.0,1
6500.0-10000.0,1
6500.0-7500.0,1
12001.0-22000.0,1
21000.0-30000.0,1
8500.0-13000.0,1
14000.0-21000.0,1
2600.0-4000.0,1
10000.0-13333.0,1
60000.0-85000.0,1
6001.0-8000.0,1
4001.0-8000.0,1
8333.0-11666.0,1
7500.0-16666.0,1
400.0-400.0,1
24000.0-40000.0,1
10833.0-12500.0,1
15000.0-26000.0,1
10001.0-20000.0,1
10001.0-13000.0,1
2001.0-4000.0,1
10000.0-16666.0,1
25000.0-33333.0,1
2500.0-4000.0,1
18000.0-19000.0,1
7001.0-9000.0,1
6666.0-10000.0,1
35000.0-50000.0,1
22000.0-30000.0,1
3000.0-7000.0,1
3500.0-7000.0,1
55000.0-85000.0,1
12500.0-16666.0,1
3500.0-4500.0,1
80000.0-150000.0,1
8500.0-15000.0,1
20000.0-26000.0,1
22000.0-25000.0,1
