岗位薪资,数量
6000.0-8000.0,505
4000.0-6000.0,485
10000.0-15000.0,411
5000.0-7000.0,336
5000.0-8000.0,325
6000.0-10000.0,316
15000.0-25000.0,315
8000.0-12000.0,306
8000.0-10000.0,268
5000.0-10000.0,240
10000.0-20000.0,233
4000.0-5000.0,225
6000.0-12000.0,221
15000.0-30000.0,217
7000.0-10000.0,213
5000.0-6000.0,204
8000.0-15000.0,196
0.0-0.0,187
7000.0-12000.0,186
8000.0-13000.0,184
15000.0-20000.0,176
6000.0-9000.0,166
7000.0-9000.0,162
4000.0-8000.0,162
3000.0-5000.0,138
20000.0-40000.0,135
3000.0-4000.0,124
4000.0-7000.0,119
20000.0-30000.0,116
12000.0-18000.0,106
6000.0-7000.0,102
8000.0-16000.0,101
7000.0-11000.0,94
12000.0-20000.0,91
7000.0-8000.0,84
5000.0-9000.0,81
9000.0-12000.0,77
3000.0-6000.0,72
7000.0-14000.0,71
10000.0-12000.0,70
12000.0-24000.0,69
20000.0-25000.0,62
20000.0-35000.0,58
9000.0-14000.0,54
8000.0-11000.0,52
25000.0-35000.0,48
9000.0-13000.0,48
10000.0-13000.0,47
12000.0-15000.0,46
7000.0-13000.0,45
6000.0-11000.0,45
9000.0-15000.0,43
10000.0-18000.0,43
10000.0-16000.0,43
11000.0-18000.0,42
8000.0-14000.0,42
25000.0-40000.0,41
11000.0-16000.0,39
11000.0-15000.0,38
8000.0-9000.0,36
2000.0-3000.0,35
10000.0-14000.0,34
11000.0-20000.0,31
2000.0-4000.0,31
13000.0-20000.0,31
薪资面议,30
11000.0-22000.0,28
12000.0-17000.0,27
14000.0-20000.0,26
15000.0-22000.0,24
25000.0-45000.0,24
18000.0-30000.0,22
14000.0-18000.0,22
9000.0-11000.0,21
9000.0-10000.0,21
11000.0-17000.0,20
13000.0-25000.0,20
13000.0-16000.0,20
12000.0-16000.0,20
30000.0-50000.0,20
30000.0-60000.0,19
9000.0-18000.0,19
16000.0-30000.0,18
18000.0-25000.0,18
1000.0-2000.0,17
12000.0-22000.0,17
13000.0-26000.0,17
15000.0-18000.0,16
12000.0-13000.0,15
10000.0-11000.0,15
18000.0-22000.0,15
13000.0-18000.0,15
25000.0-30000.0,15
30000.0-40000.0,15
18000.0-35000.0,13
13000.0-17000.0,13
10000.0-17000.0,13
12000.0-14000.0,13
14000.0-17000.0,11
16000.0-25000.0,11
11000.0-13000.0,11
25000.0-50000.0,11
13000.0-23000.0,10
14000.0-28000.0,10
17000.0-25000.0,9
15000.0-21000.0,8
22000.0-35000.0,8
15000.0-24000.0,8
15000.0-23000.0,8
11000.0-12000.0,8
9000.0-16000.0,8
11000.0-19000.0,8
4000.0-9000.0,8
30000.0-45000.0,8
15000.0-26000.0,7
15000.0-16000.0,7
16000.0-22000.0,7
14000.0-25000.0,7
13000.0-15000.0,7
9000.0-17000.0,6
14000.0-22000.0,6
35000.0-45000.0,6
17000.0-30000.0,6
18000.0-20000.0,6
15000.0-28000.0,6
22000.0-30000.0,6
11000.0-14000.0,6
17000.0-20000.0,5
30000.0-35000.0,5
14000.0-23000.0,5
16000.0-20000.0,5
17000.0-24000.0,5
30000.0-55000.0,5
40000.0-80000.0,5
35000.0-65000.0,5
18000.0-26000.0,4
15000.0-27000.0,4
12000.0-19000.0,4
17000.0-23000.0,4
16000.0-28000.0,4
18000.0-28000.0,4
40000.0-60000.0,4
15000.0-17000.0,4
14000.0-19000.0,4
18000.0-23000.0,4
23000.0-35000.0,4
13000.0-21000.0,4
11000.0-21000.0,4
50000.0-100000.0,4
16000.0-23000.0,3
35000.0-55000.0,3
16000.0-32000.0,3
16000.0-26000.0,3
14000.0-15000.0,3
13000.0-19000.0,3
19000.0-35000.0,3
35000.0-50000.0,3
60000.0-95000.0,3
50000.0-80000.0,3
18000.0-24000.0,3
12000.0-23000.0,3
17000.0-27000.0,3
17000.0-21000.0,2
40000.0-65000.0,2
40000.0-70000.0,2
40000.0-45000.0,2
65000.0-90000.0,2
65000.0-100000.0,2
40000.0-50000.0,2
22000.0-40000.0,2
50000.0-70000.0,2
20000.0-21000.0,2
35000.0-60000.0,2
16000.0-19000.0,2
45000.0-75000.0,2
20000.0-26000.0,2
20000.0-24000.0,2
55000.0-70000.0,2
27000.0-35000.0,2
14000.0-16000.0,2
14000.0-21000.0,2
16000.0-21000.0,2
17000.0-22000.0,2
18000.0-36000.0,2
20000.0-28000.0,2
17000.0-18000.0,2
28000.0-50000.0,2
18000.0-29000.0,1
16000.0-24000.0,1
10000.0-19000.0,1
65000.0-70000.0,1
16000.0-18000.0,1
50000.0-60000.0,1
21000.0-35000.0,1
23000.0-30000.0,1
2500.0-4000.0,1
23000.0-45000.0,1
19000.0-27000.0,1
24000.0-30000.0,1
13000.0-22000.0,1
16000.0-17000.0,1
38000.0-76000.0,1
28000.0-55000.0,1
12000.0-21000.0,1
13000.0-14000.0,1
3000.0-8000.0,1
12500.0-16666.0,1
22000.0-32000.0,1
19000.0-24000.0,1
15000.0-19000.0,1
3500.0-5000.0,1
24000.0-28000.0,1
29000.0-40000.0,1
20000.0-23000.0,1
45000.0-60000.0,1
18000.0-19000.0,1
2500.0-3000.0,1
3000.0-7000.0,1
14000.0-26000.0,1
2000.0-5000.0,1
19000.0-22000.0,1
120000.0-150000.0,1
4500.0-7000.0,1
