岗位薪资,数量
薪资面议,868
5000.0-8000.0,514
3000.0-5000.0,432
8000.0-12000.0,415
4000.0-6000.0,255
4001.0-6000.0,183
6000.0-8000.0,164
6001.0-8000.0,150
4000.0-5000.0,129
4000.0-8000.0,127
10000.0-15000.0,109
12000.0-20000.0,105
5000.0-10000.0,103
0.0-0.0,103
5000.0-6000.0,102
6000.0-10000.0,102
8000.0-10000.0,90
5000.0-7000.0,90
6000.0-12000.0,87
3000.0-4000.0,86
2001.0-4000.0,83
2000.0-3000.0,75
8001.0-10000.0,73
4000.0-7000.0,70
8000.0-15000.0,70
10000.0-20000.0,65
4001.0-5000.0,62
7000.0-10000.0,56
20000.0-25000.0,51
3000.0-6000.0,50
4000.0,41
10001.0-15000.0,39
3000.0-4500.0,39
6000.0-7000.0,38
4500.0-6000.0,33
8000.0-13000.0,33
6000.0-9000.0,32
7000.0-14000.0,31
25000.0,30
2000.0-4000.0,30
7000.0-12000.0,29
2001.0-3000.0,29
9000.0-12000.0,26
7000.0-9000.0,25
3000.0-4499.0,25
15001.0-20000.0,24
5000.0-9000.0,24
3001.0-4000.0,23
8000.0-16000.0,22
5001.0-6000.0,22
3500.0-5000.0,21
15000.0-20000.0,19
7000.0-8000.0,18
10000.0-12000.0,18
6000.0-11000.0,17
9000.0-11000.0,16
20000.0-30000.0,16
20000.0-40000.0,15
8000.0-14000.0,15
15000.0-25000.0,14
7000.0-13000.0,14
12000.0-15000.0,13
20000.0,13
9000.0-13000.0,13
6000.0-7999.0,12
50000.0-70000.0,12
70000.0-100000.0,12
2000.0-2999.0,12
5001.0-7000.0,12
5001.0-8000.0,11
3001.0-5000.0,11
15000.0-30000.0,11
10000.0-18000.0,11
20001.0-30000.0,11
4500.0-5000.0,11
4500.0-5500.0,10
9000.0-15000.0,10
4500.0-5999.0,10
8000.0-11000.0,10
3000.0-3500.0,10
4001.0-8000.0,10
5000.0-7999.0,10
7000.0-11000.0,10
5001.0-10000.0,9
9000.0-18000.0,9
6001.0-12000.0,9
40000.0-60000.0,9
9000.0-14000.0,8
3001.0-6000.0,8
12000.0-18000.0,8
8001.0-15000.0,8
3500.0-4000.0,8
10000.0-14000.0,8
3500.0-4500.0,7
4000.0-4500.0,7
3500.0-7000.0,7
12000.0-24000.0,7
2000.0-2000.0,7
13000.0-20000.0,7
1000.0-2000.0,6
9500.0-12000.0,6
8500.0-12000.0,6
8000.0-9000.0,6
50000.0-100000.0,6
2500.0-3500.0,6
6500.0-7500.0,6
10000.0-16000.0,6
7001.0-12000.0,5
3000.0-8000.0,5
13000.0-15000.0,5
10001.0-20000.0,5
8001.0-12000.0,5
7001.0-10000.0,5
96000.0-96000.0,5
100000.0-120000.0,5
10000.0-11000.0,4
9000.0-16000.0,4
12000.0-16000.0,4
12001.0-15000.0,4
13000.0-18000.0,4
2500.0-3000.0,4
9800.0-15000.0,4
6001.0-10000.0,4
60000.0-120000.0,4
3500.0-5500.0,4
120000.0-240000.0,4
100000.0-140000.0,3
4001.0-7000.0,3
11000.0-16000.0,3
1500.0-1500.0,3
80000.0-120000.0,3
4500.0-6500.0,3
6000.0-7500.0,3
5500.0-6000.0,3
10000.0-17000.0,3
2500.0-5000.0,3
2500.0-4000.0,3
2800.0-4000.0,3
120000.0-180000.0,3
5500.0-10000.0,3
100000.0-180000.0,3
70000.0-120000.0,3
180000.0-240000.0,3
5833.0-10000.0,3
16000.0-20000.0,3
4500.0-8000.0,3
2500.0-4500.0,2
300000.0-480000.0,2
50000.0-80000.0,2
80000.0-100000.0,2
110.0-110.0,2
2500.0-6666.0,2
80000.0-170000.0,2
100000.0-150000.0,2
3000.0-3000.0,2
240000.0-360000.0,2
8000.0,2
100000.0-170000.0,2
5000.0-5999.0,2
8000.0-18000.0,2
40000.0-50000.0,2
60000.0-70000.0,2
3000.0-7000.0,2
7000.0-20000.0,2
145.0-155.0,2
6000.0-15000.0,2
5000.0-5500.0,2
30001.0-50000.0,2
4000.0-5500.0,2
7500.0-8000.0,2
60000.0-80000.0,2
6500.0-9000.0,2
3000.0,2
70000.0-98000.0,2
30001.0-45000.0,2
9000.0-10000.0,2
9800.0-12000.0,2
15000.0-18000.0,2
15001.0-18000.0,2
6001.0-9000.0,2
8001.0-13000.0,2
13000.0-17000.0,2
5001.0-9000.0,2
8001.0-16000.0,2
10000.0-13000.0,2
11000.0-20000.0,2
9500.0-13000.0,2
30000.0-60000.0,2
18000.0-25000.0,2
11000.0-15000.0,2
2000.0-5000.0,2
3500.0-6000.0,2
12000.0-14000.0,2
25000.0-41666.0,2
15001.0-30000.0,2
12500.0-16666.0,2
400000.0-500000.0,1
3000.0-10000.0,1
15000.0-19999.0,1
1800.0-4000.0,1
100000.0-200000.0,1
2500.0-7000.0,1
14000.0-21000.0,1
20833.0-41666.0,1
5833.0-8333.0,1
1800.0-3800.0,1
2400.0-4000.0,1
12000.0-23000.0,1
4500.0-7000.0,1
18000.0-23000.0,1
25000.0-29000.0,1
4000.0-4000.0,1
240000.0-300000.0,1
80000.0-140000.0,1
14000.0-26000.0,1
40000.0-80000.0,1
15000.0-20833.0,1
200000.0-390000.0,1
17000.0-24000.0,1
7500.0-10000.0,1
15000.0-22000.0,1
1500.0,1
4000.0-6500.0,1
3500.0-8000.0,1
2400.0-3500.0,1
10000.0,1
16000.0-19000.0,1
3600.0-6000.0,1
30000.0-39999.0,1
60000.0-100000.0,1
1800.0-2400.0,1
6000.0-9999.0,1
10000.0-14999.0,1
8000.0-9999.0,1
11000.0-17000.0,1
0.0-10000.0,1
1000.0-1500.0,1
1599.0-1600.0,1
5000.0-6667.0,1
1500.0-2500.0,1
21000.0-22000.0,1
24000.0-25000.0,1
12000.0-22000.0,1
3800.0-4500.0,1
30000.0-35000.0,1
5500.0-6500.0,1
2500.0-3800.0,1
6666.0-8333.0,1
18000.0-28000.0,1
300000.0-600000.0,1
5000.0-6666.0,1
14000.0-20000.0,1
180000.0-300000.0,1
180000.0-480000.0,1
170000.0-240000.0,1
170000.0-260000.0,1
4500.0-7500.0,1
120000.0-220000.0,1
6000.0-6000.0,1
120000.0-150000.0,1
20000.0-27000.0,1
360000.0-480000.0,1
60000.0-60000.0,1
20000.0-22000.0,1
72000.0-96000.0,1
60000.0-72000.0,1
8000.0-19000.0,1
7001.0-14000.0,1
5000.0-13000.0,1
20001.0-40000.0,1
6200.0-7500.0,1
5000.0-5000.0,1
72000.0-72000.0,1
18001.0-35000.0,1
6001.0-11000.0,1
4800.0-5200.0,1
2400.0-4800.0,1
3300.0-4000.0,1
3800.0-5000.0,1
3980.0-4000.0,1
7001.0-9000.0,1
10000.0-30000.0,1
11001.0-15000.0,1
8500.0-13000.0,1
6800.0-7900.0,1
150000.0-300000.0,1
10001.0-16000.0,1
6600.0-7200.0,1
7000.0-8500.0,1
3200.0-6400.0,1
11000.0-18000.0,1
90000.0-180000.0,1
15001.0-16000.0,1
6000.0-14000.0,1
5500.0-7500.0,1
3200.0-8000.0,1
