岗位薪资,数量
薪资面议,22
20000.0-30000.0,4
15000.0-30000.0,4
20001.0-40000.0,4
30000.0-50000.0,4
15001.0-30000.0,3
20000.0-40000.0,3
360000.0-480000.0,2
30001.0-50000.0,2
20000.0-25000.0,2
180000.0-300000.0,2
40000.0-70000.0,2
30000.0-45000.0,1
25000.0-35000.0,1
40001.0-70000.0,1
240001.0-250000.0,1
17000.0-30000.0,1
10001.0-20000.0,1
16000.0-28000.0,1
7000.0-14000.0,1
180000.0-360000.0,1
11000.0-20000.0,1
240000.0-480000.0,1
420000.0-600000.0,1
360000.0-720000.0,1
110000.0-210000.0,1
220000.0-420000.0,1
240000.0-420000.0,1
55000.0-85000.0,1
15001.0-25000.0,1
18001.0-35000.0,1
16000.0-30000.0,1
17000.0-25000.0,1
30000.0-40000.0,1
13000.0-26000.0,1
18000.0-30000.0,1
25000.0-45000.0,1
10000.0-20000.0,1
40000.0-60000.0,1
7001.0-14000.0,1
20001.0-30000.0,1
10000.0-15000.0,1
12000.0-24000.0,1
8000.0-9000.0,1
40000.0-50000.0,1
12000.0-14000.0,1
15000.0-25000.0,1
