岗位薪资,数量
薪资面议,1388
5000.0-8000.0,777
3000.0-5000.0,542
4000.0-6000.0,444
6000.0-8000.0,386
8000.0-12000.0,324
4000.0-8000.0,296
2001.0-4000.0,251
5000.0-10000.0,240
10000.0-15000.0,229
8000.0-10000.0,219
2000.0-3000.0,206
3000.0-4000.0,205
4001.0-6000.0,172
4000.0,157
4000.0-5000.0,154
3000.0-4500.0,137
6000.0-10000.0,137
6000.0-12000.0,132
0.0-0.0,129
4500.0-6000.0,125
8000.0-15000.0,120
10000.0-20000.0,115
15000.0-20000.0,113
2000.0-4000.0,107
3000.0-6000.0,106
6001.0-8000.0,103
5000.0-7000.0,100
12000.0-20000.0,98
5000.0-6000.0,91
4001.0-5000.0,82
8001.0-10000.0,79
7000.0-10000.0,69
9000.0-15000.0,59
7000.0-9000.0,54
9000.0-12000.0,52
7000.0-12000.0,51
4000.0-7000.0,49
1000.0-2000.0,48
15000.0-25000.0,46
3000.0-4499.0,46
6000.0-9000.0,45
2000.0-2999.0,44
5000.0-9000.0,44
2001.0-3000.0,43
3001.0-4000.0,41
7000.0-14000.0,40
20000.0-40000.0,36
8500.0-15000.0,34
10001.0-15000.0,31
8000.0-16000.0,30
20000.0-30000.0,29
5001.0-8000.0,27
9000.0-11000.0,27
15000.0-30000.0,25
20000.0-25000.0,25
3001.0-5000.0,25
6000.0-7000.0,24
6001.0-10000.0,22
7000.0-8000.0,21
2000.0,20
10000.0-12000.0,19
70000.0-100000.0,19
5001.0-10000.0,17
12000.0-18000.0,17
5000.0-7999.0,17
8000.0-13000.0,17
8333.0-12500.0,15
1500.0-1999.0,14
4500.0-5999.0,14
12001.0-20000.0,14
6000.0-7999.0,13
6000.0-11000.0,13
3500.0-5000.0,13
12500.0-16666.0,13
10000.0-18000.0,13
7000.0-11000.0,13
5001.0-6000.0,13
3500.0-6000.0,13
2500.0-3500.0,13
9000.0-18000.0,12
3001.0-6000.0,12
10000.0-13000.0,12
50000.0-70000.0,12
20001.0-40000.0,12
25000.0,11
12000.0-15000.0,11
16666.0-25000.0,10
5000.0-6666.0,10
8000.0-11000.0,9
6001.0-12000.0,9
25000.0-30000.0,9
4000.0-4500.0,9
13000.0-20000.0,9
15001.0-20000.0,9
5000.0-25000.0,8
3500.0-4000.0,8
8000.0-9000.0,8
3500.0-4500.0,8
7000.0-13000.0,8
8000.0-14000.0,8
12000.0-24000.0,8
3500.0,7
7000.0-15000.0,7
18000.0-25000.0,7
5500.0-7500.0,7
2000.0-2500.0,7
8001.0-15000.0,7
3800.0-7000.0,7
5001.0-7000.0,7
30000.0-50000.0,7
10000.0-16000.0,7
3000.0-8000.0,7
12000.0-16000.0,7
7001.0-10000.0,6
11000.0-20000.0,6
